scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,241.838,241.838,0,0.0,30.313588,30.313588,0,0.0,1.0,0.8675115,0.025859691901683603,4.0,0.762,20774.0,0.00011817617866004963,0.0,,
network_cloud_multiregion,prism_cc_cost,1,271.383,271.383,0,0.0,11.339897,11.339897,0,0.0,1.0,0.7033345,0.1569313953205349,4.0,0.984,30953.0,0.00015260545905707197,0.0,-12.216855911808727,62.591373215206325
network_cloud_multiregion,prism_cc_time,1,241.838,241.838,0,0.0,30.313588,30.313588,0,0.0,1.0,0.8675115,0.025859691901683603,4.0,0.762,20774.0,0.00011817617866004963,0.0,0.0,0.0
network_edge_cloud,heft_classic,1,192.209,192.209,0,0.0,32.105958,32.105958,0,0.0,1.0,0.6034925,0.279676820453984,4.0,1.069,61025.0,0.000165787841191067,0.0,,
network_edge_cloud,prism_cc_cost,1,212.407,212.407,0,0.0,1.398278,1.398278,0,0.0,1.0,0.2874775,0.3506751674288472,4.0,1.492,82690.0,0.00023138957816377172,0.0,-10.508352886701458,95.64480212675791
network_edge_cloud,prism_cc_time,1,192.209,192.209,0,0.0,32.105958,32.105958,0,0.0,1.0,0.6034925,0.279676820453984,4.0,1.069,61025.0,0.000165787841191067,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,155.389,155.389,0,0.0,21.27821,21.27821,0,0.0,1.0,0.32097292857142856,0.1799392068308724,14.0,1.149,25528.0,0.00017819478908188586,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,168.053,168.053,0,0.0,10.679421,10.679421,0,0.0,1.0,0.3149369285714286,0.1812201592997803,13.0,1.241,32968.0,0.00019246277915632755,0.0,-8.149869038348909,49.81052917515149
network_fog_hpc_cloud,prism_cc_time,1,153.626,153.626,0,0.0,22.376218,22.376218,0,0.0,1.0,0.34021164285714284,0.178863106758296,14.0,0.947,24426.0,0.00014686724565756822,0.0,1.1345719452470928,-5.1602460921289905
network_hpc_cloud,heft_classic,1,156.553,156.553,0,0.0,21.355051,21.355051,0,0.0,1.0,0.5899015,0.07026880492259707,4.0,1.207,24779.0,0.00018718982630272954,0.0,,
network_hpc_cloud,prism_cc_cost,1,168.022,168.022,0,0.0,10.713588,10.713588,0,0.0,1.0,0.4624065,0.2724501480404259,3.0,1.261,33388.0,0.00019556451612903224,0.0,-7.3259535109515594,49.83112894462298
network_hpc_cloud,prism_cc_time,1,154.691,154.691,0,0.0,22.328,22.328,0,0.0,1.0,0.5946505,0.07180254033980972,4.0,1.122,26683.0,0.0001740074441687345,0.0,1.1893735667792982,-4.556060296929283
network_hpc_local,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.4581295,0.21764822072498088,4.0,0.599,27758.0,9.28970223325062e-05,0.0,,
network_hpc_local,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.4581295,0.21764822072498088,4.0,0.599,27758.0,9.28970223325062e-05,0.0,0.0,0.0
network_hpc_local,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.4581295,0.21764822072498088,4.0,0.599,27758.0,9.28970223325062e-05,0.0,0.0,0.0
network_hpc_multisite,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.45812949999999997,0.2176826666348288,4.0,0.599,27389.0,9.28970223325062e-05,0.0,,
network_hpc_multisite,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.45812949999999997,0.2176826666348288,4.0,0.599,27389.0,9.28970223325062e-05,0.0,0.0,0.0
network_hpc_multisite,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.45812949999999997,0.2176826666348288,4.0,0.599,27389.0,9.28970223325062e-05,0.0,0.0,0.0
network_wfcommons_overlay,heft_classic,1,1034.709,1034.709,0,0.0,0.0,0.0,0,0.0,1.0,0.5101112,0.2717413954269022,5.0,0.36,31987.0,5.5831265508684863e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,1034.709,1034.709,0,0.0,0.0,0.0,0,0.0,1.0,0.5101112,0.2717413954269022,5.0,0.36,31987.0,5.5831265508684863e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,1034.709,1034.709,0,0.0,0.0,0.0,0,0.0,1.0,0.5101112,0.2717413954269022,5.0,0.36,31987.0,5.5831265508684863e-05,0.0,0.0,0.0
