scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,6593.223000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,6593.223000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,988.415000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,1321.411200,484.676000,484.676000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,7713.709000,55.985601,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,1321.411200,484.676000,484.676000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,7713.709000,55.985601,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,1321.411200,1101.176000,1101.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,973.407000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,3542.955227,686.574000,572.145000,572.145000,0.000000,0.000000,2952.462689,2952.462689,0.000000,0.000000,0.921000,15730.831000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,3542.955227,686.574000,649.142000,649.142000,0.000000,0.000000,0.288418,0.288418,0.000000,0.000000,0.756000,15730.831000,-13.457603,99.990231
network_cloud_multiregion,heft_colocation,1,1.000000,3542.955227,686.574000,572.145000,572.145000,0.000000,0.000000,2952.462689,2952.462689,0.000000,0.000000,0.921000,3277.035000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,2425.750880,1382.676000,317.245000,317.245000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611000,23267.136000,72.466869,100.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,2425.750880,1382.676000,317.245000,317.245000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611000,23267.136000,72.466869,100.000000
network_hpc_cloud,heft_colocation,1,1.000000,2425.750880,1382.676000,1152.230000,1152.230000,0.000000,0.000000,2021.459067,2021.459067,0.000000,0.000000,1.160000,1323.621000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,2268.363893,434.948400,284.115000,284.115000,0.000000,0.000000,105.910468,105.910468,0.000000,0.000000,1.479000,13722.058000,21.614150,94.397170
network_edge_cloud,prism_cc_cost,1,1.000000,2268.363893,434.948400,347.395000,347.395000,0.000000,0.000000,72.475156,72.475156,0.000000,0.000000,1.490000,13722.058000,4.155527,96.165951
network_edge_cloud,heft_colocation,1,1.000000,2268.363893,434.948400,362.457000,362.457000,0.000000,0.000000,1890.303244,1890.303244,0.000000,0.000000,1.237000,3449.189000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,2005.152749,1353.540000,280.869000,280.869000,0.000000,0.000000,39.561405,39.561405,0.000000,0.000000,0.650000,25476.432000,75.099162,97.632415
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,2005.152749,1353.540000,300.410000,300.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.667000,25476.432000,73.366727,100.000000
network_fog_hpc_cloud,heft_colocation,1,1.000000,2005.152749,1353.540000,1127.950000,1127.950000,0.000000,0.000000,1670.960624,1670.960624,0.000000,0.000000,1.077000,2216.460000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,2303.965200,1250.557000,1250.557000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.369000,8612.122000,34.865839,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,2303.965200,1250.557000,1250.557000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.369000,8612.122000,34.865839,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,2303.965200,1919.971000,1919.971000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.369000,1039.278000,0.000000,0.000000
