scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
real_network_stress_cloud_hetero,heft_classic,1,132.949,132.949,0,0.0,78.056073,78.056073,0,0.0
real_network_stress_cloud_hetero,prism_cc_cost,1,137.985,137.985,0,0.0,58.900373,58.900373,0,0.0
real_network_stress_cloud_hetero,prism_cc_time,1,132.949,132.949,0,0.0,78.056073,78.056073,0,0.0
real_network_stress_cloud_homo,heft_classic,1,121.17,121.17,0,0.0,86.864984,86.864984,0,0.0
real_network_stress_cloud_homo,prism_cc_cost,1,121.55,121.55,0,0.0,58.522392,58.522392,0,0.0
real_network_stress_cloud_homo,prism_cc_time,1,119.903,119.903,0,0.0,86.492073,86.492073,0,0.0
real_network_stress_cluster_hetero,heft_classic,1,467.356,467.356,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_hetero,prism_cc_cost,1,445.861,445.861,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_hetero,prism_cc_time,1,445.861,445.861,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_homo,heft_classic,1,533.182,533.182,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_homo,prism_cc_cost,1,518.92,518.92,0,0.0,0.0,0.0,0,0.0
real_network_stress_cluster_homo,prism_cc_time,1,518.92,518.92,0,0.0,0.0,0.0,0,0.0
real_network_stress_hybrid_hetero,heft_classic,1,160.148,160.148,0,0.0,27.177254,27.177254,0,0.0
real_network_stress_hybrid_hetero,prism_cc_cost,1,157.606,157.606,0,0.0,26.945274,26.945274,0,0.0
real_network_stress_hybrid_hetero,prism_cc_time,1,157.051,157.051,0,0.0,27.355119,27.355119,0,0.0
real_network_stress_hybrid_homo,heft_classic,1,156.606,156.606,0,0.0,49.585139,49.585139,0,0.0
real_network_stress_hybrid_homo,prism_cc_cost,1,187.606,187.606,0,0.0,3.303729,3.303729,0,0.0
real_network_stress_hybrid_homo,prism_cc_time,1,143.189,143.189,0,0.0,45.953294,45.953294,0,0.0
real_network_stress_hybrid_raspberry_500mbps,heft_classic,1,594.696,594.696,0,0.0,279.218285,279.218285,0,0.0
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,1,619.235,619.235,0,0.0,129.833867,129.833867,0,0.0
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,1,451.765,451.765,0,0.0,211.576674,211.576674,0,0.0
