scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
real_network_stress_cluster_homo,prism_cc_time,makespan,518.92,533.182,2.674883998334538,PRISM-CC
real_network_stress_cluster_homo,prism_cc_cost,makespan,518.92,533.182,2.674883998334538,PRISM-CC
real_network_stress_cluster_hetero,prism_cc_time,makespan,445.861,467.356,4.599277638459762,PRISM-CC
real_network_stress_cluster_hetero,prism_cc_cost,makespan,445.861,467.356,4.599277638459762,PRISM-CC
real_network_stress_cloud_homo,prism_cc_time,makespan,119.903,121.17,1.0456383593298637,PRISM-CC
real_network_stress_cloud_homo,prism_cc_cost,makespan,121.55,121.17,-0.31360897912024055,HEFT
real_network_stress_cloud_hetero,prism_cc_time,makespan,132.949,132.949,0.0,Empate
real_network_stress_cloud_hetero,prism_cc_cost,makespan,137.985,132.949,-3.787918675582367,HEFT
real_network_stress_hybrid_homo,prism_cc_time,makespan,143.189,156.606,8.567360126687358,PRISM-CC
real_network_stress_hybrid_homo,prism_cc_cost,makespan,187.606,156.606,-19.79489930143162,HEFT
real_network_stress_hybrid_hetero,prism_cc_time,makespan,157.051,160.148,1.9338362015136052,PRISM-CC
real_network_stress_hybrid_hetero,prism_cc_cost,makespan,157.606,160.148,1.5872817643679606,PRISM-CC
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,makespan,451.765,594.696,24.03429651452171,PRISM-CC
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,makespan,619.235,594.696,-4.126309912963932,HEFT
real_network_stress_cluster_homo,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
real_network_stress_cluster_homo,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
real_network_stress_cluster_hetero,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
real_network_stress_cluster_hetero,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
real_network_stress_cloud_homo,prism_cc_time,budget_used,86.492073,86.864984,0.42929956678516396,PRISM-CC
real_network_stress_cloud_homo,prism_cc_cost,budget_used,58.522392,86.864984,32.628328118957576,PRISM-CC
real_network_stress_cloud_hetero,prism_cc_time,budget_used,78.056073,78.056073,0.0,Empate
real_network_stress_cloud_hetero,prism_cc_cost,budget_used,58.900373,78.056073,24.540947633888777,PRISM-CC
real_network_stress_hybrid_homo,prism_cc_time,budget_used,45.953294,49.585139,7.324462678223003,PRISM-CC
real_network_stress_hybrid_homo,prism_cc_cost,budget_used,3.303729,49.585139,93.33725977858005,PRISM-CC
real_network_stress_hybrid_hetero,prism_cc_time,budget_used,27.355119,27.177254,-0.6544627356391379,HEFT
real_network_stress_hybrid_hetero,prism_cc_cost,budget_used,26.945274,27.177254,0.8535814545501914,PRISM-CC
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,budget_used,211.576674,279.218285,24.225351502320127,PRISM-CC
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,budget_used,129.833867,279.218285,53.500943894129286,PRISM-CC
