scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
real_network_stress_cluster_homo,prism_cc_cost,Cluster homogêneo rede real heterogênea · PRISM-CC - Cost,492.29,492.29,0.0,0.0,,100.0,0.0,593.7216,0.0,82.9159660015738,0,0,True,True,1,,,
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,Fog híbrido rede real heterogênea · PRISM-CC - Cost,351.366,351.366,27.510764,27.510764,,100.0,33.928938,430.0164,81.08348100963255,81.70990687797024,0,0,True,True,2,81.08348100963255,1.2060591236035663,0.014874288925265664
real_network_stress_cluster_hetero,heft_classic,Cluster heterogêneo rede real heterogênea · HEFT coalocado,440.025,440.025,0.0,0.0,,100.0,0.0,528.03,0.0,83.33333333333334,0,0,True,False,,,,
real_network_stress_cluster_hetero,prism_cc_cost,Cluster heterogêneo rede real heterogênea · PRISM-CC - Cost,439.573,439.573,0.0,0.0,,100.0,0.0,528.03,0.0,83.24773213643164,0,0,True,False,,,,
real_network_stress_cluster_hetero,prism_cc_time,Cluster heterogêneo rede real heterogênea · PRISM-CC - Time,439.573,439.573,0.0,0.0,,100.0,0.0,528.03,0.0,83.24773213643164,0,0,True,False,,,,
real_network_stress_cluster_homo,heft_classic,Cluster homogêneo rede real heterogênea · HEFT coalocado,494.768,494.768,0.0,0.0,,100.0,0.0,593.7216,0.0,83.33333333333333,0,0,True,False,,,,
real_network_stress_cluster_homo,prism_cc_time,Cluster homogêneo rede real heterogênea · PRISM-CC - Time,492.29,492.29,0.0,0.0,,100.0,0.0,593.7216,0.0,82.9159660015738,0,0,True,False,,,,
real_network_stress_hybrid_hetero,prism_cc_cost,Híbrido heterogêneo rede real heterogênea · PRISM-CC - Cost,187.091,187.091,0.430157,0.430157,,100.0,3.731831,189.1608,11.526700967969878,98.90579866441675,0,0,True,False,,,,
real_network_stress_cloud_homo,prism_cc_cost,Cloud homogênea rede real heterogênea · PRISM-CC - Cost,122.92,122.92,7.29612,7.29612,,100.0,11.862654,142.776,61.50495496201778,86.09290076763601,0,0,True,False,,,,
real_network_stress_cloud_hetero,prism_cc_cost,Cloud heterogênea rede real heterogênea · PRISM-CC - Cost,137.324,137.324,6.560699,6.560699,,100.0,10.472078,159.0372,62.64944741626256,86.34709363595435,0,0,True,False,,,,
real_network_stress_hybrid_homo,prism_cc_cost,Híbrido homogêneo rede real heterogênea · PRISM-CC - Cost,161.114,161.114,4.620307,4.620307,,100.0,6.600113,171.978,70.00345297118398,93.68291293072369,0,0,True,False,,,,
real_network_stress_hybrid_homo,prism_cc_time,Híbrido homogêneo rede real heterogênea · PRISM-CC - Time,143.077,143.077,4.768985,4.768985,,100.0,6.600113,171.978,72.25611137263861,83.19494353928991,0,0,True,False,,,,
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,Fog híbrido rede real heterogênea · PRISM-CC - Time,351.366,351.366,27.510764,27.510764,,100.0,33.928938,430.0164,81.08348100963255,81.70990687797024,0,0,True,False,,,,
real_network_stress_cloud_homo,prism_cc_time,Cloud homogênea rede real heterogênea · PRISM-CC - Time,118.704,118.704,9.84312,9.84312,,100.0,11.862654,142.776,82.97569835552821,83.14002353336694,0,0,True,False,,,,
real_network_stress_hybrid_hetero,heft_classic,Híbrido heterogêneo rede real heterogênea · HEFT coalocado,157.634,157.634,3.109859,3.109859,,100.0,3.731831,189.1608,83.33332886725042,83.33333333333333,0,0,True,False,,,,
real_network_stress_hybrid_hetero,prism_cc_time,Híbrido heterogêneo rede real heterogênea · PRISM-CC - Time,157.634,157.634,3.109859,3.109859,,100.0,3.731831,189.1608,83.33332886725042,83.33333333333333,0,0,True,False,,,,
real_network_stress_hybrid_homo,heft_classic,Híbrido homogêneo rede real heterogênea · HEFT coalocado,143.315,143.315,5.500094,5.500094,,100.0,6.600113,171.978,83.33333080812405,83.33333333333333,0,0,True,False,,,,
real_network_stress_hybrid_raspberry_500mbps,heft_classic,Fog híbrido rede real heterogênea · HEFT coalocado,358.347,358.347,28.274115,28.274115,,100.0,33.928938,430.0164,83.33333333333331,83.33333333333333,0,0,True,False,,,,
real_network_stress_cloud_homo,heft_classic,Cloud homogênea rede real heterogênea · HEFT coalocado,118.98,118.98,9.885545,9.885545,,100.0,11.862654,142.776,83.33333333333334,83.33333333333333,0,0,True,False,,,,
real_network_stress_cloud_hetero,heft_classic,Cloud heterogênea rede real heterogênea · HEFT coalocado,132.531,132.531,8.726732,8.726732,,100.0,10.472078,159.0372,83.33333651640105,83.33333333333333,0,0,True,False,,,,
real_network_stress_cloud_hetero,prism_cc_time,Cloud heterogênea rede real heterogênea · PRISM-CC - Time,132.531,132.531,8.726732,8.726732,,100.0,10.472078,159.0372,83.33333651640105,83.33333333333333,0,0,True,False,,,,
