scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
real_network_stress_cluster_homo,prism_cc_time,1,1.000000,0.000000,593.721600,492.290000,492.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.676000,6283.429000,0.500841,0.000000
real_network_stress_cluster_homo,prism_cc_cost,1,1.000000,0.000000,593.721600,492.290000,492.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.676000,6283.429000,0.500841,0.000000
real_network_stress_cluster_homo,heft_colocation,1,1.000000,0.000000,593.721600,494.768000,494.768000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.676000,990.272000,0.000000,0.000000
real_network_stress_cluster_hetero,prism_cc_time,1,1.000000,0.000000,528.030000,439.573000,439.573000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.021000,5962.663000,0.102721,0.000000
real_network_stress_cluster_hetero,prism_cc_cost,1,1.000000,0.000000,528.030000,439.573000,439.573000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.021000,5962.663000,0.102721,0.000000
real_network_stress_cluster_hetero,heft_colocation,1,1.000000,0.000000,528.030000,440.025000,440.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.021000,906.699000,0.000000,0.000000
real_network_stress_cloud_homo,prism_cc_time,1,1.000000,11.862654,142.776000,118.704000,118.704000,0.000000,0.000000,9.843120,9.843120,0.000000,0.000000,0.284000,20196.561000,0.231972,0.429162
real_network_stress_cloud_homo,prism_cc_cost,1,1.000000,11.862654,142.776000,122.920000,122.920000,0.000000,0.000000,7.296120,7.296120,0.000000,0.000000,0.284000,20196.561000,-3.311481,26.194054
real_network_stress_cloud_homo,heft_colocation,1,1.000000,11.862654,142.776000,118.980000,118.980000,0.000000,0.000000,9.885545,9.885545,0.000000,0.000000,0.284000,3808.409000,0.000000,0.000000
real_network_stress_cloud_hetero,prism_cc_time,1,1.000000,10.472078,159.037200,132.531000,132.531000,0.000000,0.000000,8.726732,8.726732,0.000000,0.000000,0.401000,19931.245000,0.000000,0.000000
real_network_stress_cloud_hetero,prism_cc_cost,1,1.000000,10.472078,159.037200,137.324000,137.324000,0.000000,0.000000,6.560699,6.560699,0.000000,0.000000,0.334000,19931.245000,-3.616512,24.820666
real_network_stress_cloud_hetero,heft_colocation,1,1.000000,10.472078,159.037200,132.531000,132.531000,0.000000,0.000000,8.726732,8.726732,0.000000,0.000000,0.401000,3703.434000,0.000000,0.000000
real_network_stress_hybrid_homo,prism_cc_time,1,1.000000,6.600113,171.978000,143.077000,143.077000,0.000000,0.000000,4.768985,4.768985,0.000000,0.000000,0.329000,20017.826000,0.166068,13.292664
real_network_stress_hybrid_homo,prism_cc_cost,1,1.000000,6.600113,171.978000,161.114000,161.114000,0.000000,0.000000,4.620307,4.620307,0.000000,0.000000,0.327000,20017.826000,-12.419496,15.995854
real_network_stress_hybrid_homo,heft_colocation,1,1.000000,6.600113,171.978000,143.315000,143.315000,0.000000,0.000000,5.500094,5.500094,0.000000,0.000000,0.326000,3647.439000,0.000000,0.000000
real_network_stress_hybrid_hetero,prism_cc_time,1,1.000000,3.731831,189.160800,157.634000,157.634000,0.000000,0.000000,3.109859,3.109859,0.000000,0.000000,0.540000,17470.854000,0.000000,0.000000
real_network_stress_hybrid_hetero,prism_cc_cost,1,1.000000,3.731831,189.160800,187.091000,187.091000,0.000000,0.000000,0.430157,0.430157,0.000000,0.000000,0.557000,17470.854000,-18.686958,86.167958
real_network_stress_hybrid_hetero,heft_colocation,1,1.000000,3.731831,189.160800,157.634000,157.634000,0.000000,0.000000,3.109859,3.109859,0.000000,0.000000,0.540000,3166.664000,0.000000,0.000000
real_network_stress_hybrid_raspberry_500mbps,prism_cc_time,1,1.000000,33.928938,430.016400,351.366000,351.366000,0.000000,0.000000,27.510764,27.510764,0.000000,0.000000,0.831000,40511.999000,1.948112,2.699823
real_network_stress_hybrid_raspberry_500mbps,prism_cc_cost,1,1.000000,33.928938,430.016400,351.366000,351.366000,0.000000,0.000000,27.510764,27.510764,0.000000,0.000000,0.831000,40511.999000,1.948112,2.699823
real_network_stress_hybrid_raspberry_500mbps,heft_colocation,1,1.000000,33.928938,430.016400,358.347000,358.347000,0.000000,0.000000,28.274115,28.274115,0.000000,0.000000,0.834000,3770.461000,0.000000,0.000000
