algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization,recommendations_json
heft_colocation,network_cloud_multiregion,1,t0|t1|t5|t7,0.000000,38.250000,0.023375,0.028050,45.900000,0.000000,0.000000,true,0.001000,3,0.148000,"{""cloud-a-02"":8}","{""cloud-a-01"":0,""cloud-a-02"":0.039489,""cloud-b-01"":0,""cloud-b-02"":0}",[]
prism_cc_cost,network_cloud_multiregion,1,t0|t1|t5|t7,0.000000,38.250000,0.023375,0.028050,45.900000,0.000000,0.000000,true,0.001000,3,29.170000,"{""cloud-a-02"":8}","{""cloud-a-01"":0,""cloud-a-02"":0.039489,""cloud-b-01"":0,""cloud-b-02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.023375,""budget_violation"":0,""makespan"":38.25,""deadline_violation"":0,""machine_signature"":""41d69d15d1fb96b8"",""weighted_score"":0.023375,""diversity_score"":0}]"
prism_cc_time,network_cloud_multiregion,1,t0|t1|t5|t7,0.000000,38.250000,0.023375,0.028050,45.900000,0.000000,0.000000,true,0.001000,3,29.170000,"{""cloud-a-02"":8}","{""cloud-a-01"":0,""cloud-a-02"":0.039489,""cloud-b-01"":0,""cloud-b-02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.023375,""budget_violation"":0,""makespan"":38.25,""deadline_violation"":0,""machine_signature"":""41d69d15d1fb96b8"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,network_edge_cloud,1,t0|t1|t5|t7,0.000000,31.688000,0.039609,0.047531,38.025600,0.000000,0.000000,true,0.001000,3,0.154000,"{""cloud-edge-02"":8}","{""cloud-edge-01"":0,""cloud-edge-02"":0.017875,""edge-data-01"":0,""edge-data-02"":0}",[]
prism_cc_cost,network_edge_cloud,1,t0|t1|t5|t7,0.000000,31.688000,0.039609,0.047531,38.025600,0.000000,0.000000,true,0.001000,3,30.240000,"{""cloud-edge-02"":8}","{""cloud-edge-01"":0,""cloud-edge-02"":0.017875,""edge-data-01"":0,""edge-data-02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.039609,""budget_violation"":0,""makespan"":31.688,""deadline_violation"":0,""machine_signature"":""e5e5f33dd1b08e01"",""weighted_score"":0.039609,""diversity_score"":0}]"
prism_cc_time,network_edge_cloud,1,t0|t1|t5|t7,0.000000,31.688000,0.039609,0.047531,38.025600,0.000000,0.000000,true,0.001000,3,30.240000,"{""cloud-edge-02"":8}","{""cloud-edge-01"":0,""cloud-edge-02"":0.017875,""edge-data-01"":0,""edge-data-02"":0}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0.039609,""budget_violation"":0,""makespan"":31.688,""deadline_violation"":0,""machine_signature"":""e5e5f33dd1b08e01"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,network_fog_hpc_cloud,1,t0|t1|t5|t7,0.000000,26.250000,0.000000,0.000000,31.500000,0.000000,0.000000,true,0.001000,3,0.356000,"{""hpc-fog-02"":8}","{""cloud-fog-01"":0,""cloud-fog-02"":0,""edge-fog-01"":0,""edge-fog-02"":0,""edge-fog-03"":0,""edge-fog-04"":0,""edge-fog-05"":0,""edge-fog-06"":0,""edge-fog-07"":0,""edge-fog-08"":0,""edge-fog-09"":0,""edge-fog-10"":0,""hpc-fog-01"":0,""hpc-fog-02"":0.03836}",[]
prism_cc_cost,network_fog_hpc_cloud,1,t0|t1|t5|t7,0.000000,26.250000,0.000000,0.000000,31.500000,0.000000,0.000000,true,0.001000,3,48.562000,"{""hpc-fog-02"":8}","{""cloud-fog-01"":0,""cloud-fog-02"":0,""edge-fog-01"":0,""edge-fog-02"":0,""edge-fog-03"":0,""edge-fog-04"":0,""edge-fog-05"":0,""edge-fog-06"":0,""edge-fog-07"":0,""edge-fog-08"":0,""edge-fog-09"":0,""edge-fog-10"":0,""hpc-fog-01"":0,""hpc-fog-02"":0.03836}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":26.25,""deadline_violation"":0,""machine_signature"":""c7c27b3fcef39132"",""weighted_score"":0,""diversity_score"":0}]"
prism_cc_time,network_fog_hpc_cloud,1,t0|t1|t5|t7,0.000000,26.250000,0.000000,0.000000,31.500000,0.000000,0.000000,true,0.001000,3,48.562000,"{""hpc-fog-02"":8}","{""cloud-fog-01"":0,""cloud-fog-02"":0,""edge-fog-01"":0,""edge-fog-02"":0,""edge-fog-03"":0,""edge-fog-04"":0,""edge-fog-05"":0,""edge-fog-06"":0,""edge-fog-07"":0,""edge-fog-08"":0,""edge-fog-09"":0,""edge-fog-10"":0,""hpc-fog-01"":0,""hpc-fog-02"":0.03836}","[{""rank"":1,""recommended"":true,""feasible"":true,""budget_used"":0,""budget_violation"":0,""makespan"":26.25,""deadline_violation"":0,""machine_signature"":""c7c27b3fcef39132"",""weighted_score"":1,""diversity_score"":0}]"
heft_colocation,network_hpc_cloud,1,t0|t1|t5|t7,0.000000,26.250000,0.000000,0.000000,31.500000,0.000000,0.000000,true,0.001000,3,0.161000,"{""hpc-hybrid-02"":8}","{""cloud-hybrid-01"":0,""cloud-hybrid-02"":0,""hpc-hybrid-01"":0,""hpc-hybrid-02"":0.03836}",[]
