scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,221.5,221.5,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,221.5,221.5,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,221.5,221.5,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,221.5,221.5,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,159.667,159.667,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,189.2,159.667,-18.496621092649068,HEFT
network_hpc_cloud,prism_cc_time,makespan,122.753,122.753,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,122.753,122.753,0.0,Empate
network_edge_cloud,prism_cc_time,makespan,122.753,122.753,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,122.753,122.753,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,makespan,122.753,122.753,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,122.753,122.753,0.0,Empate
network_wfcommons_overlay,prism_cc_time,makespan,749.692,749.692,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,749.692,749.692,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.097575,0.097575,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,0.084088,0.097575,13.822188060466308,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.483256,0.483256,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,0.483256,0.483256,0.0,Empate
network_edge_cloud,prism_cc_time,budget_used,0.153438,0.153438,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.153438,0.153438,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,budget_used,0.481694,0.481694,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.481694,0.481694,0.0,Empate
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
