scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,241.838,241.838,0,0.0,30.313588,30.313588,0,0.0,1.0,0.8675115,0.025859691901683603,4.0,0.762,20774.0,0.00011817617866004963,0.0,,
network_cloud_multiregion,prism_cc_cost,1,257.361,257.361,0,0.0,11.868151,11.868151,0,0.0,1.0,0.7660715,0.12988242152520102,4.0,0.904,30394.0,0.0001401985111662531,0.0,-6.418759665561242,60.84874215483828
network_cloud_multiregion,prism_cc_time,1,241.838,241.838,0,0.0,30.313588,30.313588,0,0.0,1.0,0.8675115,0.025859691901683603,4.0,0.762,20774.0,0.00011817617866004963,0.0,0.0,0.0
network_edge_cloud,heft_classic,1,192.209,192.209,0,0.0,32.105958,32.105958,0,0.0,1.0,0.6034925,0.279676820453984,4.0,1.069,61025.0,0.000165787841191067,0.0,,
network_edge_cloud,prism_cc_cost,1,211.008,211.008,0,0.0,1.396753,1.396753,0,0.0,1.0,0.290128,0.3525990585608533,4.0,1.493,80851.0,0.00023154466501240696,0.0,-9.780499352267586,95.64955202395767
network_edge_cloud,prism_cc_time,1,192.209,192.209,0,0.0,32.105958,32.105958,0,0.0,1.0,0.6034925,0.279676820453984,4.0,1.069,61025.0,0.000165787841191067,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,155.389,155.389,0,0.0,21.27821,21.27821,0,0.0,1.0,0.32097292857142856,0.1799392068308724,14.0,1.149,25528.0,0.00017819478908188586,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,168.575,168.575,0,0.0,12.65299,12.65299,0,0.0,1.0,0.32361407142857146,0.16231364442930687,14.0,1.017,23549.0,0.00015772332506203474,0.0,-8.48580015316398,40.53545857475793
network_fog_hpc_cloud,prism_cc_time,1,155.389,155.389,0,0.0,21.27821,21.27821,0,0.0,1.0,0.32097292857142856,0.1799392068308724,14.0,1.149,25528.0,0.00017819478908188586,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,156.553,156.553,0,0.0,21.355051,21.355051,0,0.0,1.0,0.5899015,0.07026880492259707,4.0,1.207,24779.0,0.00018718982630272954,0.0,,
network_hpc_cloud,prism_cc_cost,1,156.553,156.553,0,0.0,21.355051,21.355051,0,0.0,1.0,0.5899015,0.07026880492259707,4.0,1.207,24779.0,0.00018718982630272954,0.0,0.0,0.0
network_hpc_cloud,prism_cc_time,1,156.553,156.553,0,0.0,21.355051,21.355051,0,0.0,1.0,0.5899015,0.07026880492259707,4.0,1.207,24779.0,0.00018718982630272954,0.0,0.0,0.0
network_hpc_local,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.4581295,0.21764822072498088,4.0,0.599,27758.0,9.28970223325062e-05,0.0,,
network_hpc_local,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.4581295,0.21764822072498088,4.0,0.599,27758.0,9.28970223325062e-05,0.0,0.0,0.0
network_hpc_local,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.4581295,0.21764822072498088,4.0,0.599,27758.0,9.28970223325062e-05,0.0,0.0,0.0
network_hpc_multisite,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.45812949999999997,0.2176826666348288,4.0,0.599,27389.0,9.28970223325062e-05,0.0,,
network_hpc_multisite,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.45812949999999997,0.2176826666348288,4.0,0.599,27389.0,9.28970223325062e-05,0.0,0.0,0.0
network_hpc_multisite,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.45812949999999997,0.2176826666348288,4.0,0.599,27389.0,9.28970223325062e-05,0.0,0.0,0.0
network_wfcommons_overlay,heft_classic,1,1034.709,1034.709,0,0.0,0.0,0.0,0,0.0,1.0,0.5101112,0.2717413954269022,5.0,0.36,31987.0,5.5831265508684863e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,1034.709,1034.709,0,0.0,0.0,0.0,0,0.0,1.0,0.5101112,0.2717413954269022,5.0,0.36,31987.0,5.5831265508684863e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,1034.709,1034.709,0,0.0,0.0,0.0,0,0.0,1.0,0.5101112,0.2717413954269022,5.0,0.36,31987.0,5.5831265508684863e-05,0.0,0.0,0.0
