scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,1.000000,0.000000,337.591200,295.713967,303.113000,11.156012,3.992128,0.000000,0.000000,0.000000,0.000000,73.464700,961.961733,-5.114339,0.000000
cluster_homo,prism_cc_cost,30,1.000000,0.000000,337.591200,295.713967,303.113000,11.156012,3.992128,0.000000,0.000000,0.000000,0.000000,73.464700,961.961733,-5.114339,0.000000
cluster_homo,heft_colocation,30,1.000000,0.000000,337.591200,281.326000,281.326000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.199700,0.820300,0.000000,0.000000
cluster_hetero,prism_cc_time,30,0.866667,0.000000,346.902440,313.172200,315.135000,20.110894,7.196591,0.000000,0.000000,0.000000,0.000000,81.751667,1047.977300,-8.332083,0.000000
cluster_hetero,prism_cc_cost,30,0.866667,0.000000,346.902440,313.172200,315.135000,20.110894,7.196591,0.000000,0.000000,0.000000,0.000000,81.751667,1047.977300,-8.332083,0.000000
cluster_hetero,heft_colocation,30,1.000000,0.000000,346.902440,289.085367,281.883000,10.358391,3.706703,0.000000,0.000000,0.000000,0.000000,69.216167,1.997133,0.000000,0.000000
cloud_homo,prism_cc_time,30,1.000000,1.344726,106.047360,91.331967,92.752000,1.946103,0.696404,1.025712,1.127380,0.208720,0.074690,13.610200,1858.941400,-3.348504,8.468027
cloud_homo,prism_cc_cost,30,1.000000,1.344726,106.047360,99.540933,99.285000,4.007956,1.434229,0.402598,0.412504,0.090958,0.032549,38.542167,1858.941400,-12.637523,64.073176
cloud_homo,heft_colocation,30,1.000000,1.344726,106.047360,88.372800,88.371000,0.006850,0.002451,1.120605,1.121143,0.010282,0.003679,6.034933,8.264367,0.000000,0.000000
cloud_hetero,prism_cc_time,30,1.000000,0.809118,110.678240,98.116700,96.535000,4.626787,1.655674,0.535663,0.500773,0.104298,0.037322,33.538500,1656.173833,-6.380477,20.555972
cloud_hetero,prism_cc_cost,30,1.000000,0.809118,110.678240,102.373233,104.333000,3.884938,1.390207,0.402355,0.411930,0.090982,0.032557,41.793033,1656.173833,-10.995513,40.326828
cloud_hetero,heft_colocation,30,1.000000,0.809118,110.678240,92.231867,90.960000,1.839202,0.658150,0.674265,0.671814,0.011903,0.004260,23.100600,4.130567,0.000000,0.000000
hybrid_homo,prism_cc_time,30,0.966667,0.747528,110.602640,101.866900,103.511500,6.219834,2.225739,0.522711,0.579857,0.130438,0.046677,34.976067,1608.082267,-10.522027,16.089690
hybrid_homo,prism_cc_cost,30,0.966667,0.747528,110.602640,106.661500,108.072000,3.731199,1.335192,0.357760,0.369543,0.149864,0.053628,38.373900,1608.082267,-15.724001,42.569149
hybrid_homo,heft_colocation,30,1.000000,0.747528,110.602640,92.168867,90.904000,1.829209,0.654574,0.622940,0.619345,0.013375,0.004786,23.111333,5.336133,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,0.300000,0.507908,117.111320,120.081400,126.106000,11.704292,4.188327,0.237994,0.243031,0.072256,0.025856,70.788067,1369.671567,-23.043340,43.770698
hybrid_hetero,prism_cc_cost,30,0.300000,0.507908,117.111320,121.282433,126.106000,9.390365,3.360299,0.209508,0.207578,0.053293,0.019071,68.335900,1369.671567,-24.273998,50.500905
hybrid_hetero,heft_colocation,30,0.733333,0.507908,117.111320,97.592767,95.314000,6.182011,2.212204,0.423257,0.476074,0.127897,0.045767,48.997067,4.270733,0.000000,0.000000
