scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,30,1.000000,0.000000,337.591200,281.326000,281.326000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.132067,976.518800,0.000000,0.000000
cluster_homo,prism_cc_cost,30,1.000000,0.000000,337.591200,281.326000,281.326000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.132067,976.518800,0.000000,0.000000
cluster_homo,heft_colocation,30,1.000000,0.000000,337.591200,281.326000,281.326000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.199700,0.915467,0.000000,0.000000
cluster_hetero,prism_cc_time,30,1.000000,0.000000,346.902440,289.085367,281.883000,10.358391,3.706703,0.000000,0.000000,0.000000,0.000000,69.206733,1056.302567,0.000000,0.000000
cluster_hetero,prism_cc_cost,30,1.000000,0.000000,346.902440,289.085367,281.883000,10.358391,3.706703,0.000000,0.000000,0.000000,0.000000,69.206733,1056.302567,0.000000,0.000000
cluster_hetero,heft_colocation,30,1.000000,0.000000,346.902440,289.085367,281.883000,10.358391,3.706703,0.000000,0.000000,0.000000,0.000000,69.216167,1.039567,0.000000,0.000000
cloud_homo,prism_cc_time,30,1.000000,1.344726,106.047360,88.506700,88.371000,0.274122,0.098093,1.114159,1.115204,0.010563,0.003780,6.074600,1853.240800,-0.151517,0.575228
cloud_homo,prism_cc_cost,30,1.000000,1.344726,106.047360,97.738467,96.407000,4.755933,1.701889,0.236038,0.210317,0.075246,0.026926,54.710700,1853.240800,-10.597906,78.936569
cloud_homo,heft_colocation,30,1.000000,1.344726,106.047360,88.372800,88.371000,0.006850,0.002451,1.120605,1.121143,0.010282,0.003679,6.034933,2.882400,0.000000,0.000000
cloud_hetero,prism_cc_time,30,1.000000,0.809118,110.678240,92.829900,91.042500,2.032371,0.727275,0.614629,0.629582,0.075579,0.027046,23.062400,1656.510000,-0.648402,8.844591
cloud_hetero,prism_cc_cost,30,1.000000,0.809118,110.678240,101.023633,98.908000,5.588626,1.999864,0.278982,0.221847,0.086869,0.031086,54.421267,1656.510000,-9.532244,58.624197
cloud_hetero,heft_colocation,30,1.000000,0.809118,110.678240,92.231867,90.960000,1.839202,0.658150,0.674265,0.671814,0.011903,0.004260,23.100600,2.030833,0.000000,0.000000
hybrid_homo,prism_cc_time,30,1.000000,0.747528,110.602640,92.879567,90.973000,2.128578,0.761702,0.597773,0.601384,0.022970,0.008220,23.328400,1595.674833,-0.771085,4.040044
hybrid_homo,prism_cc_cost,30,1.000000,0.747528,110.602640,105.823233,103.792000,2.938535,1.051541,0.159820,0.138244,0.065439,0.023417,54.395267,1595.674833,-14.814511,74.344333
hybrid_homo,heft_colocation,30,1.000000,0.747528,110.602640,92.168867,90.904000,1.829209,0.654574,0.622940,0.619345,0.013375,0.004786,23.111333,2.036967,0.000000,0.000000
hybrid_hetero,prism_cc_time,30,1.000000,0.507908,117.111320,101.200100,102.009000,4.977812,1.781287,0.262355,0.208943,0.118934,0.042560,58.392600,1364.420400,-3.696312,38.015108
hybrid_hetero,prism_cc_cost,30,1.000000,0.507908,117.111320,107.322967,105.109000,3.020741,1.080958,0.167631,0.138865,0.087421,0.031283,59.052100,1364.420400,-9.970206,60.394999
hybrid_hetero,heft_colocation,30,0.733333,0.507908,117.111320,97.592767,95.314000,6.182011,2.212204,0.423257,0.476074,0.127897,0.045767,48.997067,1.739833,0.000000,0.000000
