scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
cluster_homo,prism_cc_cost,On-prem homogêneo · PRISM-CC - Cost,673.249,673.249,0.0,0.0,,100.0,0.0,809.3412,0.0,83.18481747870986,0,0,True,True,1,,,
cluster_hetero,heft_classic,On-prem heterogêneo · HEFT coalocado,664.014,664.014,0.0,0.0,,100.0,0.0,796.8168,0.0,83.33333333333333,0,0,True,False,,,,
cluster_hetero,prism_cc_cost,On-prem heterogêneo · PRISM-CC - Cost,663.888,663.888,0.0,0.0,,100.0,0.0,796.8168,0.0,83.31752041372623,0,0,True,False,,,,
cluster_hetero,prism_cc_time,On-prem heterogêneo · PRISM-CC - Time,663.888,663.888,0.0,0.0,,100.0,0.0,796.8168,0.0,83.31752041372623,0,0,True,False,,,,
cluster_homo,heft_classic,On-prem homogêneo · HEFT coalocado,674.451,674.451,0.0,0.0,,100.0,0.0,809.3412,0.0,83.33333333333334,0,0,True,False,,,,
cluster_homo,prism_cc_time,On-prem homogêneo · PRISM-CC - Time,673.249,673.249,0.0,0.0,,100.0,0.0,809.3412,0.0,83.18481747870986,0,0,True,False,,,,
hybrid_homo,prism_cc_cost,Híbrido homogêneo · PRISM-CC - Cost,244.785,244.785,5.195065,5.195065,,100.0,6.724085,246.972,77.26054920483605,99.11447451532968,0,0,True,False,,,,
cloud_homo,prism_cc_cost,Nuvem homogênea · PRISM-CC - Cost,155.444,155.444,9.620399,9.620399,,100.0,12.128981,165.93,79.31745461551965,93.68046766708852,0,0,True,False,,,,
hybrid_hetero,prism_cc_cost,Híbrido heterogêneo · PRISM-CC - Cost,249.735,249.735,3.594192,3.594192,,100.0,4.459145,299.43,80.60271644003502,83.40346658651437,0,0,True,False,,,,
hybrid_hetero,prism_cc_time,Híbrido heterogêneo · PRISM-CC - Time,249.664,249.664,3.599103,3.599103,,100.0,4.459145,299.43,80.71284966064121,83.37975486758172,0,0,True,False,,,,
cloud_hetero,prism_cc_cost,Nuvem heterogênea · PRISM-CC - Cost,172.077,172.077,9.120741,9.120741,,100.0,11.081492,206.4336,82.30607394744318,83.35706977933825,0,0,True,False,,,,
cloud_hetero,prism_cc_time,Nuvem heterogênea · PRISM-CC - Time,172.077,172.077,9.120741,9.120741,,100.0,11.081492,206.4336,82.30607394744318,83.35706977933825,0,0,True,False,,,,
cloud_homo,prism_cc_time,Nuvem homogênea · PRISM-CC - Time,138.281,138.281,10.09919,10.09919,,100.0,12.128981,165.93,83.26495028725002,83.33694931597661,0,0,True,False,,,,
hybrid_hetero,heft_classic,Híbrido heterogêneo · HEFT coalocado,249.525,249.525,3.715954,3.715954,,100.0,4.459145,299.43,83.33332959569603,83.33333333333333,0,0,True,False,,,,
hybrid_homo,heft_classic,Híbrido homogêneo · HEFT coalocado,205.81,205.81,5.603404,5.603404,,100.0,6.724085,246.972,83.33333085468135,83.33333333333333,0,0,True,False,,,,
cloud_homo,heft_classic,Nuvem homogênea · HEFT coalocado,138.275,138.275,10.107484,10.107484,,100.0,12.128981,165.93,83.33333195921405,83.33333333333333,0,0,True,False,,,,
cloud_hetero,heft_classic,Nuvem heterogênea · HEFT coalocado,172.028,172.028,9.234577,9.234577,,100.0,11.081492,206.4336,83.33333634135185,83.33333333333333,0,0,True,False,,,,
hybrid_homo,prism_cc_time,Híbrido homogêneo · PRISM-CC - Time,206.911,206.911,5.615403,5.615403,,100.0,6.724085,246.972,83.51177892605463,83.77913285716599,0,0,True,False,,,,
