scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
cluster_homo,prism_cc_time,1,1.000000,0.000000,809.341200,673.249000,673.249000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22907.827000,820573.284000,0.178219,0.000000
cluster_homo,prism_cc_cost,1,1.000000,0.000000,809.341200,673.249000,673.249000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22907.827000,820573.284000,0.178219,0.000000
cluster_homo,heft_colocation,1,1.000000,0.000000,809.341200,674.451000,674.451000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22911.968000,779.206000,0.000000,0.000000
cluster_hetero,prism_cc_time,1,1.000000,0.000000,796.816800,663.888000,663.888000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27040.497000,897181.160000,0.018976,0.000000
cluster_hetero,prism_cc_cost,1,1.000000,0.000000,796.816800,663.888000,663.888000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27040.497000,897181.160000,0.018976,0.000000
cluster_hetero,heft_colocation,1,1.000000,0.000000,796.816800,664.014000,664.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27040.365000,703.240000,0.000000,0.000000
cloud_homo,prism_cc_time,1,1.000000,12.128981,165.930000,138.281000,138.281000,0.000000,0.000000,10.099190,10.099190,0.000000,0.000000,4068.649000,1006874.709000,-0.004339,0.082058
cloud_homo,prism_cc_cost,1,1.000000,12.128981,165.930000,155.444000,155.444000,0.000000,0.000000,9.620399,9.620399,0.000000,0.000000,4499.026000,1006874.709000,-12.416561,4.819053
cloud_homo,heft_colocation,1,1.000000,12.128981,165.930000,138.275000,138.275000,0.000000,0.000000,10.107484,10.107484,0.000000,0.000000,4066.507000,5253.333000,0.000000,0.000000
cloud_hetero,prism_cc_time,1,1.000000,11.081492,206.433600,172.077000,172.077000,0.000000,0.000000,9.120741,9.120741,0.000000,0.000000,5476.009000,1101379.069000,-0.028484,1.232715
cloud_hetero,prism_cc_cost,1,1.000000,11.081492,206.433600,172.077000,172.077000,0.000000,0.000000,9.120741,9.120741,0.000000,0.000000,5476.009000,1101379.069000,-0.028484,1.232715
cloud_hetero,heft_colocation,1,1.000000,11.081492,206.433600,172.028000,172.028000,0.000000,0.000000,9.234577,9.234577,0.000000,0.000000,5474.199000,3974.857000,0.000000,0.000000
hybrid_homo,prism_cc_time,1,1.000000,6.724085,246.972000,206.911000,206.911000,0.000000,0.000000,5.615403,5.615403,0.000000,0.000000,7197.388000,1045731.108000,-0.534959,-0.214138
hybrid_homo,prism_cc_cost,1,1.000000,6.724085,246.972000,244.785000,244.785000,0.000000,0.000000,5.195065,5.195065,0.000000,0.000000,7548.952000,1045731.108000,-18.937369,7.287338
hybrid_homo,heft_colocation,1,1.000000,6.724085,246.972000,205.810000,205.810000,0.000000,0.000000,5.603404,5.603404,0.000000,0.000000,7268.192000,3732.897000,0.000000,0.000000
hybrid_hetero,prism_cc_time,1,1.000000,4.459145,299.430000,249.664000,249.664000,0.000000,0.000000,3.599103,3.599103,0.000000,0.000000,9323.446000,1267040.953000,-0.055706,3.144576
hybrid_hetero,prism_cc_cost,1,1.000000,4.459145,299.430000,249.735000,249.735000,0.000000,0.000000,3.594192,3.594192,0.000000,0.000000,9323.446000,1267040.953000,-0.084160,3.276736
hybrid_hetero,heft_colocation,1,1.000000,4.459145,299.430000,249.525000,249.525000,0.000000,0.000000,3.715954,3.715954,0.000000,0.000000,9402.427000,3270.388000,0.000000,0.000000
