scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,55.655,55.655,0.0,0.0,,100.0,0.0,66.8088,0.0,83.30489396606434,0,0,True,True,1,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,84.884,84.884,0.143167,0.143167,,100.0,0.172108,102.1236,83.18439584446975,83.11888730910387,0,0,True,True,2,83.18439584446975,0.18600665696047258,0.0022360763106129915
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,55.674,55.674,0.0,0.0,,100.0,0.0,66.8088,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,55.674,55.674,0.0,0.0,,100.0,0.0,66.8088,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,55.674,55.674,0.0,0.0,,100.0,0.0,66.8088,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,55.674,55.674,0.0,0.0,,100.0,0.0,66.8088,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,55.655,55.655,0.0,0.0,,100.0,0.0,66.8088,0.0,83.30489396606434,0,0,True,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,265.874,265.874,0.0,0.0,,100.0,0.0,319.0488,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,265.874,265.874,0.0,0.0,,100.0,0.0,319.0488,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,265.874,265.874,0.0,0.0,,100.0,0.0,319.0488,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,55.802,55.802,0.06325,0.06325,,100.0,0.093755,56.334,67.4630686363394,99.05563247772214,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,55.802,55.802,0.063288,0.063288,,100.0,0.093512,56.106,67.67901445803747,99.45816846683064,0,0,True,False,,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,82.99,82.99,0.105763,0.105763,,100.0,0.15435,86.0988,68.52154195011339,96.38926442644961,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,96.449,96.449,0.135566,0.135566,,100.0,0.172108,102.1236,78.76798289446161,94.44339995848168,0,0,True,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,85.103,85.103,0.143423,0.143423,,100.0,0.172108,102.1236,83.33313965649475,83.33333333333333,0,0,True,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,46.945,46.945,0.078129,0.078129,,100.0,0.093755,56.334,83.33315556503653,83.33333333333333,0,0,True,False,,,,
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,46.945,46.945,0.078129,0.078129,,100.0,0.093755,56.334,83.33315556503653,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,71.749,71.749,0.128625,0.128625,,100.0,0.15435,86.0988,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,71.749,71.749,0.128625,0.128625,,100.0,0.15435,86.0988,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,46.755,46.755,0.077927,0.077927,,100.0,0.093512,56.106,83.33368979382325,83.33333333333333,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,46.755,46.755,0.077927,0.077927,,100.0,0.093512,56.106,83.33368979382325,83.33333333333333,0,0,True,False,,,,
