scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,66.808800,55.674000,55.674000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,23657.191000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,66.808800,55.674000,55.674000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,23657.191000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,66.808800,55.674000,55.674000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,44.869000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,66.808800,55.655000,55.655000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,23504.964000,0.034127,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,66.808800,55.655000,55.655000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,23504.964000,0.034127,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,66.808800,55.674000,55.674000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,39.795000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.172108,102.123600,84.884000,84.884000,0.000000,0.000000,0.143167,0.143167,0.000000,0.000000,0.110000,24013.865000,0.257335,0.178493
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.172108,102.123600,96.449000,96.449000,0.000000,0.000000,0.135566,0.135566,0.000000,0.000000,0.112000,24013.865000,-13.332080,5.478201
network_cloud_multiregion,heft_colocation,1,1.000000,0.172108,102.123600,85.103000,85.103000,0.000000,0.000000,0.143423,0.143423,0.000000,0.000000,0.115000,90.226000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.093755,56.334000,46.945000,46.945000,0.000000,0.000000,0.078129,0.078129,0.000000,0.000000,0.125000,24050.776000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.093755,56.334000,55.802000,55.802000,0.000000,0.000000,0.063250,0.063250,0.000000,0.000000,0.122000,24050.776000,-18.866759,19.044145
network_hpc_cloud,heft_colocation,1,1.000000,0.093755,56.334000,46.945000,46.945000,0.000000,0.000000,0.078129,0.078129,0.000000,0.000000,0.125000,63.209000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.154350,86.098800,71.749000,71.749000,0.000000,0.000000,0.128625,0.128625,0.000000,0.000000,0.115000,21857.615000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.154350,86.098800,82.990000,82.990000,0.000000,0.000000,0.105763,0.105763,0.000000,0.000000,0.112000,21857.615000,-15.667117,17.774150
network_edge_cloud,heft_colocation,1,1.000000,0.154350,86.098800,71.749000,71.749000,0.000000,0.000000,0.128625,0.128625,0.000000,0.000000,0.115000,105.437000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.093512,56.106000,46.755000,46.755000,0.000000,0.000000,0.077927,0.077927,0.000000,0.000000,0.125000,55405.586000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.093512,56.106000,55.802000,55.802000,0.000000,0.000000,0.063288,0.063288,0.000000,0.000000,0.122000,55405.586000,-19.349802,18.785530
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.093512,56.106000,46.755000,46.755000,0.000000,0.000000,0.077927,0.077927,0.000000,0.000000,0.125000,95.702000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,319.048800,265.874000,265.874000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063000,21380.797000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,319.048800,265.874000,265.874000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063000,21380.797000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,319.048800,265.874000,265.874000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063000,40.564000,0.000000,0.000000
