scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,142.912,142.912,0,0.0,0.218836,0.218836,0,0.0,1.0,0.813883,0.003031547377165681,4.0,0.702,39856.0,0.00010729023383768913,0.0,,
network_cloud_multiregion,prism_cc_cost,1,143.124,143.124,0,0.0,0.208639,0.208639,0,0.0,1.0,0.7837927499999999,0.07666727863754849,4.0,0.777,43129.0,0.00011875286565795507,0.0,-0.14834303627406312,4.659653804675653
network_cloud_multiregion,prism_cc_time,1,142.795,142.795,0,0.0,0.218643,0.218643,0,0.0,1.0,0.81475525,0.002694566511982971,4.0,0.645,40086.0,9.857863365428703e-05,0.0,0.08186856247202379,0.08819389862728196
network_edge_cloud,heft_classic,1,114.731,114.731,0,0.0,0.181452,0.181452,0,0.0,1.0,0.75952525,0.05780121154601778,4.0,0.804,85301.0,0.0001228794131132508,0.0,,
network_edge_cloud,prism_cc_cost,1,129.298,129.298,0,0.0,0.161606,0.161606,0,0.0,1.0,0.493213,0.3026467163864495,3.0,0.812,97129.0,0.00012410209384074584,0.0,-12.696655655402644,10.937327778145185
network_edge_cloud,prism_cc_time,1,114.731,114.731,0,0.0,0.181452,0.181452,0,0.0,1.0,0.75952525,0.05780121154601778,4.0,0.804,85301.0,0.0001228794131132508,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,80.6,80.6,0,0.0,0.125331,0.125331,0,0.0,1.0,0.254326,0.275864907258193,14.0,0.77,68182.0,0.00011768302002139691,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,80.6,80.6,0,0.0,0.119094,0.119094,0,0.0,1.0,0.2824510714285714,0.2602225865969539,14.0,0.804,61313.0,0.0001228794131132508,0.0,0.0,4.976422433396361
network_fog_hpc_cloud,prism_cc_time,1,80.6,80.6,0,0.0,0.125331,0.125331,0,0.0,1.0,0.254326,0.275864907258193,14.0,0.77,68182.0,0.00011768302002139691,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,80.558,80.558,0,0.0,0.125262,0.125262,0,0.0,1.0,0.686409,0.07258015967191035,4.0,0.783,71268.0,0.00011966987620357635,0.0,,
network_hpc_cloud,prism_cc_cost,1,93.127,93.127,0,0.0,0.090973,0.090973,0,0.0,1.0,0.62377625,0.20240819223709178,4.0,0.855,73718.0,0.00013067400275103164,0.0,-15.602423098885257,27.373824463923626
network_hpc_cloud,prism_cc_time,1,80.558,80.558,0,0.0,0.125262,0.125262,0,0.0,1.0,0.686409,0.07258015967191035,4.0,0.783,71268.0,0.00011966987620357635,0.0,0.0,0.0
network_hpc_local,heft_classic,1,118.976,118.976,0,0.0,0.0,0.0,0,0.0,1.0,0.59154675,0.0045753403903425645,4.0,0.92,73853.0,0.0001406082836619288,0.0,,
network_hpc_local,prism_cc_cost,1,118.917,118.917,0,0.0,0.0,0.0,0,0.0,1.0,0.5918405,0.04568768983818289,4.0,0.92,67014.0,0.0001406082836619288,0.0,0.04958983324367729,0.0
network_hpc_local,prism_cc_time,1,118.917,118.917,0,0.0,0.0,0.0,0,0.0,1.0,0.5918405,0.04568768983818289,4.0,0.92,67014.0,0.0001406082836619288,0.0,0.04958983324367729,0.0
network_hpc_multisite,heft_classic,1,119.018,119.018,0,0.0,0.0,0.0,0,0.0,1.0,0.5913385,0.009920372485446291,4.0,0.92,73188.0,0.0001406082836619288,0.0,,
network_hpc_multisite,prism_cc_cost,1,118.959,118.959,0,0.0,0.0,0.0,0,0.0,1.0,0.5916317499999999,0.006432784287343991,4.0,0.92,73032.0,0.0001406082836619288,0.0,0.049572333596596733,0.0
network_hpc_multisite,prism_cc_time,1,118.959,118.959,0,0.0,0.0,0.0,0,0.0,1.0,0.5916317499999999,0.006432784287343991,4.0,0.92,73032.0,0.0001406082836619288,0.0,0.049572333596596733,0.0
network_wfcommons_overlay,heft_classic,1,465.823,465.823,0,0.0,0.0,0.0,0,0.0,1.0,0.6891224000000001,0.011523861897818814,5.0,0.506,71912.0,7.733455601406083e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,465.823,465.823,0,0.0,0.0,0.0,0,0.0,1.0,0.6891224000000001,0.011523861897818814,5.0,0.506,71912.0,7.733455601406083e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,465.823,465.823,0,0.0,0.0,0.0,0,0.0,1.0,0.6891224000000001,0.011523861897818814,5.0,0.506,71912.0,7.733455601406083e-05,0.0,0.0,0.0
