scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,28342.030000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,28342.030000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,54.376000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,28154.372000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,28154.372000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,53.186000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.025343,15.822000,13.181000,13.181000,0.000000,0.000000,0.021126,0.021126,0.000000,0.000000,0.128000,28450.846000,0.030338,-0.033146
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.025343,15.822000,13.892000,13.892000,0.000000,0.000000,0.013873,0.013873,0.000000,0.000000,0.130000,28450.846000,-5.362154,34.310337
network_cloud_multiregion,heft_colocation,1,1.000000,0.025343,15.822000,13.185000,13.185000,0.000000,0.000000,0.021119,0.021119,0.000000,0.000000,0.129000,131.982000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.000000,1.436400,1.197000,1.197000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,25148.434000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,1.436400,1.197000,1.197000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,25148.434000,0.000000,0.000000
network_hpc_cloud,heft_colocation,1,1.000000,0.000000,1.436400,1.197000,1.197000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,47.194000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.024566,15.505200,12.921000,12.921000,0.000000,0.000000,0.020472,0.020472,0.000000,0.000000,0.134000,25715.367000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.024566,15.505200,12.921000,12.921000,0.000000,0.000000,0.020472,0.020472,0.000000,0.000000,0.134000,25715.367000,0.000000,0.000000
network_edge_cloud,heft_colocation,1,1.000000,0.024566,15.505200,12.921000,12.921000,0.000000,0.000000,0.020472,0.020472,0.000000,0.000000,0.134000,139.834000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.000000,1.436400,1.197000,1.197000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,64683.271000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,1.436400,1.197000,1.197000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,64683.271000,0.000000,0.000000
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.000000,1.436400,1.197000,1.197000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,77.104000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,4.038000,3.365000,3.365000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119000,24649.834000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,4.038000,3.365000,3.365000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119000,24649.834000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,4.038000,3.365000,3.365000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119000,54.700000,0.000000,0.000000
