scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,5147.386,5147.386,0,0.0,3.293713,3.293713,0,0.0
network_cloud_multiregion,prism_cc_cost,1,6145.871,6145.871,0,0.0,2.914554,2.914554,0,0.0
network_cloud_multiregion,prism_cc_time,1,5147.386,5147.386,0,0.0,3.293713,3.293713,0,0.0
network_edge_cloud,heft_classic,1,3867.591,3867.591,0,0.0,4.866936,4.866936,0,0.0
network_edge_cloud,prism_cc_cost,1,3872.895,3872.895,0,0.0,4.857787,4.857787,0,0.0
network_edge_cloud,prism_cc_time,1,3867.591,3867.591,0,0.0,4.866936,4.866936,0,0.0
network_fog_hpc_cloud,heft_classic,1,3840.871,3840.871,0,0.0,4.75241,4.75241,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,3916.596,3916.596,0,0.0,4.666076,4.666076,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,3840.871,3840.871,0,0.0,4.75241,4.75241,0,0.0
network_hpc_cloud,heft_classic,1,3840.871,3840.871,0,0.0,4.752408,4.752408,0,0.0
network_hpc_cloud,prism_cc_cost,1,3916.077,3916.077,0,0.0,4.666076,4.666076,0,0.0
network_hpc_cloud,prism_cc_time,1,3840.871,3840.871,0,0.0,4.752408,4.752408,0,0.0
network_hpc_local,heft_classic,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,25830.965,25830.965,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,25830.965,25830.965,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_time,1,25830.965,25830.965,0,0.0,0.0,0.0,0,0.0
