scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,142.745,142.745,0,0.0,0.218656,0.218656,0,0.0,1.0,0.814867,0.002986956059268367,4.0,0.691,40741.0,0.00010560904783738345,0.0,,
network_cloud_multiregion,prism_cc_cost,1,142.98,142.98,0,0.0,0.208571,0.208571,0,0.0,1.0,0.7846452500000001,0.0762406592487729,4.0,0.775,43349.0,0.00011844719547608131,0.0,-0.16462923394863932,4.612267671593729
network_cloud_multiregion,prism_cc_time,1,142.698,142.698,0,0.0,0.218573,0.218573,0,0.0,1.0,0.815304,0.0026556977425904412,4.0,0.638,40860.0,9.750878801772887e-05,0.0,0.03292584678972787,0.03795916873993842
network_edge_cloud,heft_classic,1,114.715,114.715,0,0.0,0.181458,0.181458,0,0.0,1.0,0.75965975,0.05783669387756788,4.0,0.801,84623.0,0.00012242090784044018,0.0,,
network_edge_cloud,prism_cc_cost,1,129.297,129.297,0,0.0,0.161601,0.161601,0,0.0,1.0,0.491791,0.3008805835751121,3.0,0.813,96961.0,0.0001242549289316827,0.0,-12.711502419038482,10.943028138742857
network_edge_cloud,prism_cc_time,1,114.715,114.715,0,0.0,0.181458,0.181458,0,0.0,1.0,0.75965975,0.05783669387756788,4.0,0.801,84623.0,0.00012242090784044018,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,80.603,80.603,0,0.0,0.125408,0.125408,0,0.0,1.0,0.2543822857142857,0.27578733445393044,14.0,0.766,69408.0,0.00011707167965764939,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,80.603,80.603,0,0.0,0.119188,0.119188,0,0.0,1.0,0.28277142857142856,0.2600790921054358,14.0,0.799,61570.0,0.00012211523765856642,0.0,0.0,4.959811176320482
network_fog_hpc_cloud,prism_cc_time,1,80.603,80.603,0,0.0,0.125408,0.125408,0,0.0,1.0,0.2543822857142857,0.27578733445393044,14.0,0.766,69408.0,0.00011707167965764939,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,80.477,80.477,0,0.0,0.125232,0.125232,0,0.0,1.0,0.6870609999999999,0.07257714861786733,4.0,0.77,71385.0,0.00011768302002139691,0.0,,
network_hpc_cloud,prism_cc_cost,1,92.948,92.948,0,0.0,0.088944,0.088944,0,0.0,1.0,0.66098225,0.1805018309870775,4.0,0.858,61898.0,0.00013113250802384226,0.0,-15.496352995265715,28.976619394403993
network_hpc_cloud,prism_cc_time,1,80.473,80.473,0,0.0,0.124997,0.124997,0,0.0,1.0,0.68713575,0.07245604839616568,4.0,0.784,70841.0,0.00011982271129451323,0.0,0.004970364203443081,0.1876517184106402
network_hpc_local,heft_classic,1,118.979,118.979,0,0.0,0.0,0.0,0,0.0,1.0,0.5915320000000001,0.00786224646650054,4.0,0.92,73578.0,0.0001406082836619288,0.0,,
network_hpc_local,prism_cc_cost,1,118.915,118.915,0,0.0,0.0,0.0,0,0.0,1.0,0.59185025,0.004660206292375923,4.0,0.92,74166.0,0.0001406082836619288,0.0,0.0537910051353541,0.0
network_hpc_local,prism_cc_time,1,118.915,118.915,0,0.0,0.0,0.0,0,0.0,1.0,0.59185025,0.004660206292375923,4.0,0.92,74166.0,0.0001406082836619288,0.0,0.0537910051353541,0.0
network_hpc_multisite,heft_classic,1,118.985,118.985,0,0.0,0.0,0.0,0,0.0,1.0,0.591502,0.00995034052181131,4.0,0.92,73419.0,0.0001406082836619288,0.0,,
network_hpc_multisite,prism_cc_cost,1,118.94,118.94,0,0.0,0.0,0.0,0,0.0,1.0,0.591726,0.006414315006296462,4.0,0.92,72991.0,0.0001406082836619288,0.0,0.03781989326385822,0.0
network_hpc_multisite,prism_cc_time,1,118.94,118.94,0,0.0,0.0,0.0,0,0.0,1.0,0.591726,0.006414315006296462,4.0,0.92,72991.0,0.0001406082836619288,0.0,0.03781989326385822,0.0
network_wfcommons_overlay,heft_classic,1,465.817,465.817,0,0.0,0.0,0.0,0,0.0,1.0,0.6891398,0.011423483871394026,5.0,0.508,73715.0,7.764022619593459e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,465.817,465.817,0,0.0,0.0,0.0,0,0.0,1.0,0.6891398,0.011423483871394026,5.0,0.508,73715.0,7.764022619593459e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,465.817,465.817,0,0.0,0.0,0.0,0,0.0,1.0,0.6891398,0.011423483871394026,5.0,0.508,73715.0,7.764022619593459e-05,0.0,0.0,0.0
