scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,142.774800,118.915000,118.915000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,275584.528000,0.053791,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,142.774800,118.915000,118.915000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,275584.528000,0.053791,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,142.774800,118.979000,118.979000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,3367.079000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,142.782000,118.940000,118.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,271611.191000,0.037820,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,142.782000,118.940000,118.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,271611.191000,0.037820,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,142.782000,118.985000,118.985000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,2662.182000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.262387,171.294000,142.698000,142.698000,0.000000,0.000000,0.218573,0.218573,0.000000,0.000000,0.638000,282906.144000,0.032926,0.037959
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.262387,171.294000,142.980000,142.980000,0.000000,0.000000,0.208571,0.208571,0.000000,0.000000,0.775000,282906.144000,-0.164629,4.612268
network_cloud_multiregion,heft_colocation,1,1.000000,0.262387,171.294000,142.745000,142.745000,0.000000,0.000000,0.218656,0.218656,0.000000,0.000000,0.691000,11481.818000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.150278,96.572400,80.473000,80.473000,0.000000,0.000000,0.124997,0.124997,0.000000,0.000000,0.784000,294625.410000,0.004970,0.187652
network_hpc_cloud,prism_cc_cost,1,1.000000,0.150278,96.572400,92.948000,92.948000,0.000000,0.000000,0.088944,0.088944,0.000000,0.000000,0.858000,294625.410000,-15.496353,28.976619
network_hpc_cloud,heft_colocation,1,1.000000,0.150278,96.572400,80.477000,80.477000,0.000000,0.000000,0.125232,0.125232,0.000000,0.000000,0.770000,5190.433000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.217750,137.658000,114.715000,114.715000,0.000000,0.000000,0.181458,0.181458,0.000000,0.000000,0.801000,299702.046000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.217750,137.658000,129.297000,129.297000,0.000000,0.000000,0.161601,0.161601,0.000000,0.000000,0.813000,299702.046000,-12.711502,10.943028
network_edge_cloud,heft_colocation,1,1.000000,0.217750,137.658000,114.715000,114.715000,0.000000,0.000000,0.181458,0.181458,0.000000,0.000000,0.801000,10631.917000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.150490,96.723600,80.603000,80.603000,0.000000,0.000000,0.125408,0.125408,0.000000,0.000000,0.766000,603618.537000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.150490,96.723600,80.603000,80.603000,0.000000,0.000000,0.119188,0.119188,0.000000,0.000000,0.799000,603618.537000,0.000000,4.959811
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.150490,96.723600,80.603000,80.603000,0.000000,0.000000,0.125408,0.125408,0.000000,0.000000,0.766000,2657.610000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,558.980400,465.817000,465.817000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508000,199308.672000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,558.980400,465.817000,465.817000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508000,199308.672000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,558.980400,465.817000,465.817000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508000,1028.253000,0.000000,0.000000
