scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,265801.611000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,265801.611000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,1070.920000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,267332.075000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,267332.075000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,1049.995000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,36.376306,290.205600,241.838000,241.838000,0.000000,0.000000,30.313588,30.313588,0.000000,0.000000,0.762000,278421.233000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,36.376306,290.205600,271.387000,271.387000,0.000000,0.000000,11.339910,11.339910,0.000000,0.000000,0.985000,278421.233000,-12.218510,62.591330
network_cloud_multiregion,heft_colocation,1,1.000000,36.376306,290.205600,241.838000,241.838000,0.000000,0.000000,30.313588,30.313588,0.000000,0.000000,0.762000,4123.618000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,25.626061,187.863600,154.691000,154.691000,0.000000,0.000000,22.318618,22.318618,0.000000,0.000000,1.122000,307969.286000,1.189374,-4.512127
network_hpc_cloud,prism_cc_cost,1,1.000000,25.626061,187.863600,168.022000,168.022000,0.000000,0.000000,10.713588,10.713588,0.000000,0.000000,1.262000,307969.286000,-7.325954,49.831129
network_hpc_cloud,heft_colocation,1,1.000000,25.626061,187.863600,156.553000,156.553000,0.000000,0.000000,21.355051,21.355051,0.000000,0.000000,1.207000,1439.649000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,38.527150,230.650800,192.209000,192.209000,0.000000,0.000000,32.105958,32.105958,0.000000,0.000000,1.069000,256533.200000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,38.527150,230.650800,212.537000,212.537000,0.000000,0.000000,1.398444,1.398444,0.000000,0.000000,1.492000,256533.200000,-10.575988,95.644285
network_edge_cloud,heft_colocation,1,1.000000,38.527150,230.650800,192.209000,192.209000,0.000000,0.000000,32.105958,32.105958,0.000000,0.000000,1.069000,4220.209000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,25.533852,186.466800,153.626000,153.626000,0.000000,0.000000,22.376218,22.376218,0.000000,0.000000,0.947000,682979.332000,1.134572,-5.160246
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,25.533852,186.466800,168.053000,168.053000,0.000000,0.000000,10.679421,10.679421,0.000000,0.000000,1.240000,682979.332000,-8.149869,49.810529
network_fog_hpc_cloud,heft_colocation,1,1.000000,25.533852,186.466800,155.389000,155.389000,0.000000,0.000000,21.278210,21.278210,0.000000,0.000000,1.149000,2061.547000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,1241.650800,1034.709000,1034.709000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360000,204192.655000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,1241.650800,1034.709000,1034.709000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360000,204192.655000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,1241.650800,1034.709000,1034.709000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360000,1138.880000,0.000000,0.000000
