scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,5147.36,5147.36,0,0.0,3.293755,3.293755,0,0.0
network_cloud_multiregion,prism_cc_cost,1,6139.312,6139.312,0,0.0,2.976077,2.976077,0,0.0
network_cloud_multiregion,prism_cc_time,1,5147.36,5147.36,0,0.0,3.293755,3.293755,0,0.0
network_edge_cloud,heft_classic,1,3867.591,3867.591,0,0.0,4.866945,4.866945,0,0.0
network_edge_cloud,prism_cc_cost,1,3872.895,3872.895,0,0.0,4.857789,4.857789,0,0.0
network_edge_cloud,prism_cc_time,1,3867.591,3867.591,0,0.0,4.866945,4.866945,0,0.0
network_fog_hpc_cloud,heft_classic,1,3840.791,3840.791,0,0.0,4.752289,4.752289,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,3916.535,3916.535,0,0.0,4.666076,4.666076,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,3840.791,3840.791,0,0.0,4.752289,4.752289,0,0.0
network_hpc_cloud,heft_classic,1,3840.791,3840.791,0,0.0,4.752287,4.752287,0,0.0
network_hpc_cloud,prism_cc_cost,1,3915.997,3915.997,0,0.0,4.666076,4.666076,0,0.0
network_hpc_cloud,prism_cc_time,1,3840.791,3840.791,0,0.0,4.752287,4.752287,0,0.0
network_hpc_local,heft_classic,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,25830.925,25830.925,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,25830.925,25830.925,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_time,1,25830.925,25830.925,0,0.0,0.0,0.0,0,0.0
