scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,7605.338,7605.338,0.0,0.0,,100.0,0.0,9126.4056,0.0,83.33333333333333,0,0,True,True,1,,,
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,7605.338,7605.338,0.0,0.0,,100.0,0.0,9126.4056,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,7605.338,7605.338,0.0,0.0,,100.0,0.0,9126.4056,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,7605.338,7605.338,0.0,0.0,,100.0,0.0,9126.4056,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,7605.338,7605.338,0.0,0.0,,100.0,0.0,9126.4056,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,7605.338,7605.338,0.0,0.0,,100.0,0.0,9126.4056,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,25830.925,25830.925,0.0,0.0,,100.0,0.0,30997.11,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,25830.925,25830.925,0.0,0.0,,100.0,0.0,30997.11,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,25830.925,25830.925,0.0,0.0,,100.0,0.0,30997.11,0.0,83.33333333333333,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,6139.312,6139.312,2.976077,2.976077,,100.0,3.952506,6176.832,75.29595147989656,99.39256887673162,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,3916.535,3916.535,4.666076,4.666076,,100.0,5.702747,4608.9492,81.82155021080193,84.97674480768849,0,0,True,False,,,,
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,3915.997,3915.997,4.666076,4.666076,,100.0,5.702744,4608.9492,81.82159325405455,84.96507186497087,0,0,True,False,,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,3872.895,3872.895,4.857789,4.857789,,100.0,5.840334,4641.1092,83.17656147747714,83.4476163586067,0,0,True,False,,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,3840.791,3840.791,4.752289,4.752289,,100.0,5.702747,4608.9492,83.3333304107652,83.33333333333334,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,3840.791,3840.791,4.752289,4.752289,,100.0,5.702747,4608.9492,83.3333304107652,83.33333333333334,0,0,True,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,5147.36,5147.36,3.293755,3.293755,,100.0,3.952506,6176.832,83.33333333333333,83.33333333333331,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,5147.36,5147.36,3.293755,3.293755,,100.0,3.952506,6176.832,83.33333333333333,83.33333333333331,0,0,True,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,3867.591,3867.591,4.866945,4.866945,,100.0,5.840334,4641.1092,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,3867.591,3867.591,4.866945,4.866945,,100.0,5.840334,4641.1092,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,3840.791,3840.791,4.752287,4.752287,,100.0,5.702744,4608.9492,83.33333917847268,83.33333333333334,0,0,True,False,,,,
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,3840.791,3840.791,4.752287,4.752287,,100.0,5.702744,4608.9492,83.33333917847268,83.33333333333334,0,0,True,False,,,,
