scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,142.842,142.842,0,0.0,0.218857,0.218857,0,0.0,1.0,0.8143057499999999,0.00314773413545362,4.0,0.695,40423.0,0.00010622038820113097,0.0,,
network_cloud_multiregion,prism_cc_cost,1,170.268,170.268,0,0.0,0.20886,0.20886,0,0.0,1.0,0.644352,0.21496128814858734,4.0,0.742,41622.0,0.0001134036374751643,0.0,-19.20023522493383,4.567822824949627
network_cloud_multiregion,prism_cc_time,1,142.792,142.792,0,0.0,0.218741,0.218741,0,0.0,1.0,0.81472475,0.0028613428119503652,4.0,0.646,40332.0,9.873146874522391e-05,0.0,0.03500371039330965,0.05300264556308685
network_edge_cloud,heft_classic,1,115.022,115.022,0,0.0,0.181868,0.181868,0,0.0,1.0,0.7576185,0.05766896258170423,4.0,0.801,82640.0,0.00012242090784044018,0.0,,
network_edge_cloud,prism_cc_cost,1,129.298,129.298,0,0.0,0.161606,0.161606,0,0.0,1.0,0.49325549999999996,0.3026522198055881,3.0,0.813,97133.0,0.0001242549289316827,0.0,-12.411538662168972,11.141047353025272
network_edge_cloud,prism_cc_time,1,115.022,115.022,0,0.0,0.181868,0.181868,0,0.0,1.0,0.7576185,0.05766896258170423,4.0,0.801,82640.0,0.00012242090784044018,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,80.75,80.75,0,0.0,0.125518,0.125518,0,0.0,1.0,0.2529377857142857,0.27597516665432537,14.0,0.768,69574.0,0.00011737734983952315,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,80.75,80.75,0,0.0,0.119353,0.119353,0,0.0,1.0,0.28153214285714284,0.26034413519742267,14.0,0.798,60949.0,0.00012196240256762954,0.0,0.0,4.911646138402452
network_fog_hpc_cloud,prism_cc_time,1,80.75,80.75,0,0.0,0.125518,0.125518,0,0.0,1.0,0.2529377857142857,0.27597516665432537,14.0,0.768,69574.0,0.00011737734983952315,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,80.603,80.603,0,0.0,0.125413,0.125413,0,0.0,1.0,0.68598125,0.0724773705696302,4.0,0.786,72129.0,0.00012012838147638698,0.0,,
network_hpc_cloud,prism_cc_cost,1,93.123,93.123,0,0.0,0.09022,0.09022,0,0.0,1.0,0.64969025,0.17356216075137892,4.0,0.847,71805.0,0.0001294513220235366,0.0,-15.532920610895388,28.06168419541834
network_hpc_cloud,prism_cc_time,1,80.581,80.581,0,0.0,0.125254,0.125254,0,0.0,1.0,0.686007,0.07237392892817136,4.0,0.756,70967.0,0.00011554332874828061,0.0,0.02729426944405464,0.12678111519538843
network_hpc_local,heft_classic,1,119.188,119.188,0,0.0,0.0,0.0,0,0.0,1.0,0.590495,0.009518520998558535,4.0,0.92,73185.0,0.0001406082836619288,0.0,,
network_hpc_local,prism_cc_cost,1,119.177,119.177,0,0.0,0.0,0.0,0,0.0,1.0,0.59054925,0.004409909827592863,4.0,0.92,73143.0,0.0001406082836619288,0.0,0.009229117025200255,0.0
network_hpc_local,prism_cc_time,1,119.177,119.177,0,0.0,0.0,0.0,0,0.0,1.0,0.59054925,0.004409909827592863,4.0,0.92,73143.0,0.0001406082836619288,0.0,0.009229117025200255,0.0
network_hpc_multisite,heft_classic,1,119.189,119.189,0,0.0,0.0,0.0,0,0.0,1.0,0.59048975,0.009592828112058515,4.0,0.92,73304.0,0.0001406082836619288,0.0,,
network_hpc_multisite,prism_cc_cost,1,119.189,119.189,0,0.0,0.0,0.0,0,0.0,1.0,0.59048975,0.009592828112058515,4.0,0.92,73304.0,0.0001406082836619288,0.0,0.0,0.0
network_hpc_multisite,prism_cc_time,1,119.189,119.189,0,0.0,0.0,0.0,0,0.0,1.0,0.59048975,0.009592828112058515,4.0,0.92,73304.0,0.0001406082836619288,0.0,0.0,0.0
network_wfcommons_overlay,heft_classic,1,466.137,466.137,0,0.0,0.0,0.0,0,0.0,1.0,0.6886512,0.011570828240018066,5.0,0.525,70378.0,8.023842274186154e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,466.137,466.137,0,0.0,0.0,0.0,0,0.0,1.0,0.6886512,0.011570828240018066,5.0,0.525,70378.0,8.023842274186154e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,466.137,466.137,0,0.0,0.0,0.0,0,0.0,1.0,0.6886512,0.011570828240018066,5.0,0.525,70378.0,8.023842274186154e-05,0.0,0.0,0.0
