scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,143.025600,119.177000,119.177000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,226396.140000,0.009229,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,143.025600,119.177000,119.177000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,226396.140000,0.009229,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,143.025600,119.188000,119.188000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,954.746000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,143.026800,119.189000,119.189000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,218944.384000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,143.026800,119.189000,119.189000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,218944.384000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,143.026800,119.189000,119.189000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,1007.869000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.262628,171.410400,142.792000,142.792000,0.000000,0.000000,0.218741,0.218741,0.000000,0.000000,0.646000,237161.004000,0.035004,0.053003
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.262628,171.410400,170.268000,170.268000,0.000000,0.000000,0.208860,0.208860,0.000000,0.000000,0.742000,237161.004000,-19.200235,4.567823
network_cloud_multiregion,heft_colocation,1,1.000000,0.262628,171.410400,142.842000,142.842000,0.000000,0.000000,0.218857,0.218857,0.000000,0.000000,0.695000,4261.646000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.150496,96.723600,80.581000,80.581000,0.000000,0.000000,0.125254,0.125254,0.000000,0.000000,0.756000,245811.342000,0.027294,0.126781
network_hpc_cloud,prism_cc_cost,1,1.000000,0.150496,96.723600,93.123000,93.123000,0.000000,0.000000,0.090220,0.090220,0.000000,0.000000,0.847000,245811.342000,-15.532921,28.061684
network_hpc_cloud,heft_colocation,1,1.000000,0.150496,96.723600,80.603000,80.603000,0.000000,0.000000,0.125413,0.125413,0.000000,0.000000,0.786000,2331.495000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.218242,138.026400,115.022000,115.022000,0.000000,0.000000,0.181868,0.181868,0.000000,0.000000,0.801000,266125.259000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.218242,138.026400,129.298000,129.298000,0.000000,0.000000,0.161606,0.161606,0.000000,0.000000,0.813000,266125.259000,-12.411539,11.141047
network_edge_cloud,heft_colocation,1,1.000000,0.218242,138.026400,115.022000,115.022000,0.000000,0.000000,0.181868,0.181868,0.000000,0.000000,0.801000,4838.283000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.150622,96.900000,80.750000,80.750000,0.000000,0.000000,0.125518,0.125518,0.000000,0.000000,0.768000,548963.030000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.150622,96.900000,80.750000,80.750000,0.000000,0.000000,0.119353,0.119353,0.000000,0.000000,0.798000,548963.030000,0.000000,4.911646
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.150622,96.900000,80.750000,80.750000,0.000000,0.000000,0.125518,0.125518,0.000000,0.000000,0.768000,2980.902000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,559.364400,466.137000,466.137000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525000,201525.321000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,559.364400,466.137000,466.137000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525000,201525.321000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,559.364400,466.137000,466.137000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525000,971.671000,0.000000,0.000000
