scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,118.209,118.209,0,0.0,0.331211,0.331211,0,0.0
network_cloud_multiregion,prism_cc_cost,1,124.345,124.345,0,0.0,0.265495,0.265495,0,0.0
network_cloud_multiregion,prism_cc_time,1,116.035,116.035,0,0.0,0.300934,0.300934,0,0.0
network_edge_cloud,heft_classic,1,93.071,93.071,0,0.0,0.330423,0.330423,0,0.0
network_edge_cloud,prism_cc_cost,1,95.961,95.961,0,0.0,0.120317,0.120317,0,0.0
network_edge_cloud,prism_cc_time,1,93.071,93.071,0,0.0,0.330423,0.330423,0,0.0
network_fog_hpc_cloud,heft_classic,1,85.917,85.917,0,0.0,0.239453,0.239453,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,96.206,96.206,0,0.0,0.139552,0.139552,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,85.917,85.917,0,0.0,0.239453,0.239453,0,0.0
network_hpc_cloud,heft_classic,1,86.558,86.558,0,0.0,0.239947,0.239947,0,0.0
network_hpc_cloud,prism_cc_cost,1,96.465,96.465,0,0.0,0.139612,0.139612,0,0.0
network_hpc_cloud,prism_cc_time,1,86.274,86.274,0,0.0,0.235232,0.235232,0,0.0
network_hpc_local,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,500.375,500.375,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,500.375,500.375,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_time,1,500.375,500.375,0,0.0,0.0,0.0,0,0.0
