scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,147.835,147.835,0.0,0.0,,100.0,0.0,177.402,0.0,83.33333333333334,0,0,True,True,1,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,116.035,116.035,0.300934,0.300934,,100.0,0.397453,141.8508,75.71561920528968,81.8007371125154,0,0,True,True,2,75.71561920528968,1.5325962208179362,0.020241480382833153
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,147.835,147.835,0.0,0.0,,100.0,0.0,177.402,0.0,83.33333333333334,0,0,True,False,,,,
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,147.835,147.835,0.0,0.0,,100.0,0.0,177.402,0.0,83.33333333333334,0,0,True,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,147.835,147.835,0.0,0.0,,100.0,0.0,177.402,0.0,83.33333333333334,0,0,True,False,,,,
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,147.835,147.835,0.0,0.0,,100.0,0.0,177.402,0.0,83.33333333333334,0,0,True,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,147.835,147.835,0.0,0.0,,100.0,0.0,177.402,0.0,83.33333333333334,0,0,True,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,500.375,500.375,0.0,0.0,,100.0,0.0,600.45,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,500.375,500.375,0.0,0.0,,100.0,0.0,600.45,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,500.375,500.375,0.0,0.0,,100.0,0.0,600.45,0.0,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,95.961,95.961,0.120317,0.120317,,100.0,0.396508,111.6852,30.344154468510087,85.92096356545004,0,0,True,False,,,,
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,96.465,96.465,0.139612,0.139612,,100.0,0.287936,103.8696,48.48716381418093,92.8712539568844,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,96.206,96.206,0.139552,0.139552,,100.0,0.287344,103.1004,48.56617851773485,93.3129260410241,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,124.345,124.345,0.265495,0.265495,,100.0,0.397453,141.8508,66.7990932261173,87.6590050954947,0,0,True,False,,,,
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,86.274,86.274,0.235232,0.235232,,100.0,0.287936,103.8696,81.69593242942875,83.05991358395526,0,0,True,False,,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,85.917,85.917,0.239453,0.239453,,100.0,0.287344,103.1004,83.33321732835904,83.33333333333334,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,85.917,85.917,0.239453,0.239453,,100.0,0.287344,103.1004,83.33321732835904,83.33333333333334,0,0,True,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,93.071,93.071,0.330423,0.330423,,100.0,0.396508,111.6852,83.33324926609299,83.33333333333334,0,0,True,False,,,,
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,93.071,93.071,0.330423,0.330423,,100.0,0.396508,111.6852,83.33324926609299,83.33333333333334,0,0,True,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,118.209,118.209,0.331211,0.331211,,100.0,0.397453,141.8508,83.3333752670127,83.33333333333333,0,0,True,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,86.558,86.558,0.239947,0.239947,,100.0,0.287936,103.8696,83.33344909979994,83.33333333333334,0,0,True,False,,,,
