scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,147.835,147.835,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,147.835,147.835,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,147.835,147.835,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,147.835,147.835,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,116.035,118.209,1.8391154649815213,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,124.345,118.209,-5.19080611459364,HEFT
network_hpc_cloud,prism_cc_time,makespan,86.274,86.558,0.32810369925368654,PRISM-CC
network_hpc_cloud,prism_cc_cost,makespan,96.465,86.558,-11.445504748261277,HEFT
network_edge_cloud,prism_cc_time,makespan,93.071,93.071,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,95.961,93.071,-3.10515627854004,HEFT
network_fog_hpc_cloud,prism_cc_time,makespan,85.917,85.917,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,96.206,85.917,-11.975511249228909,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,500.375,500.375,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,500.375,500.375,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.300934,0.331211,9.14130267412616,PRISM-CC
network_cloud_multiregion,prism_cc_cost,budget_used,0.265495,0.331211,19.84112846493625,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.235232,0.239947,1.9650172746481502,PRISM-CC
network_hpc_cloud,prism_cc_cost,budget_used,0.139612,0.239947,41.81548425277248,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,0.330423,0.330423,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.120317,0.330423,63.58697790408052,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,0.239453,0.239453,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.139552,0.239453,41.720504650181866,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
