scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,9126.585600,7605.488000,7605.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,22260.807000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,9126.585600,7605.488000,7605.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,22260.807000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,9126.585600,7605.488000,7605.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,35.279000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,9126.590400,7605.492000,7605.492000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,21915.337000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,9126.590400,7605.492000,7605.492000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,21915.337000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,9126.590400,7605.492000,7605.492000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086000,30.595000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,3.952706,6177.262800,5147.036000,5147.036000,0.000000,0.000000,3.309972,3.309972,0.000000,0.000000,0.084000,21928.275000,0.013268,-0.487261
network_cloud_multiregion,prism_cc_cost,1,1.000000,3.952706,6177.262800,6138.688000,6138.688000,0.000000,0.000000,2.993031,2.993031,0.000000,0.000000,0.081000,21928.275000,-19.250643,9.134734
network_cloud_multiregion,heft_colocation,1,1.000000,3.952706,6177.262800,5147.719000,5147.719000,0.000000,0.000000,3.293922,3.293922,0.000000,0.000000,0.087000,73.695000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,5.702906,4609.093200,3840.911000,3840.911000,0.000000,0.000000,4.752422,4.752422,0.000000,0.000000,0.087000,22593.988000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,5.702906,4609.093200,3916.102000,3916.102000,0.000000,0.000000,4.666076,4.666076,0.000000,0.000000,0.088000,22593.988000,-1.957635,1.816884
network_hpc_cloud,heft_colocation,1,1.000000,5.702906,4609.093200,3840.911000,3840.911000,0.000000,0.000000,4.752422,4.752422,0.000000,0.000000,0.087000,50.042000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,5.840275,4641.109200,3867.591000,3867.591000,0.000000,0.000000,4.866896,4.866896,0.000000,0.000000,0.090000,20181.549000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,5.840275,4641.109200,3880.904000,3880.904000,0.000000,0.000000,4.851124,4.851124,0.000000,0.000000,0.088000,20181.549000,-0.344219,0.324067
network_edge_cloud,heft_colocation,1,1.000000,5.840275,4641.109200,3867.591000,3867.591000,0.000000,0.000000,4.866896,4.866896,0.000000,0.000000,0.090000,80.077000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,5.702914,4609.093200,3840.911000,3840.911000,0.000000,0.000000,4.752428,4.752428,0.000000,0.000000,0.088000,48808.090000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,5.702914,4609.093200,3916.718000,3916.718000,0.000000,0.000000,4.666076,4.666076,0.000000,0.000000,0.088000,48808.090000,-1.973672,1.817008
network_fog_hpc_cloud,heft_colocation,1,1.000000,5.702914,4609.093200,3840.911000,3840.911000,0.000000,0.000000,4.752428,4.752428,0.000000,0.000000,0.088000,70.666000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,30997.542000,25831.285000,25831.285000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083000,17079.166000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,30997.542000,25831.285000,25831.285000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083000,17079.166000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,30997.542000,25831.285000,25831.285000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083000,32.785000,0.000000,0.000000
