scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,84.68,84.68,0,0.0,0.142995,0.142995,0,0.0
network_cloud_multiregion,prism_cc_cost,1,101.485,101.485,0,0.0,0.136797,0.136797,0,0.0
network_cloud_multiregion,prism_cc_time,1,84.68,84.68,0,0.0,0.142995,0.142995,0,0.0
network_edge_cloud,heft_classic,1,71.749,71.749,0,0.0,0.12874,0.12874,0,0.0
network_edge_cloud,prism_cc_cost,1,82.99,82.99,0,0.0,0.105763,0.105763,0,0.0
network_edge_cloud,prism_cc_time,1,71.749,71.749,0,0.0,0.12874,0.12874,0,0.0
network_fog_hpc_cloud,heft_classic,1,46.755,46.755,0,0.0,0.077937,0.077937,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,55.732,55.732,0,0.0,0.063207,0.063207,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,46.755,46.755,0,0.0,0.077937,0.077937,0,0.0
network_hpc_cloud,heft_classic,1,46.755,46.755,0,0.0,0.077937,0.077937,0,0.0
network_hpc_cloud,prism_cc_cost,1,55.732,55.732,0,0.0,0.063207,0.063207,0,0.0
network_hpc_cloud,prism_cc_time,1,46.755,46.755,0,0.0,0.077937,0.077937,0,0.0
network_hpc_local,heft_classic,1,55.674,55.674,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,55.655,55.655,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,55.655,55.655,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,55.674,55.674,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,55.655,55.655,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,55.655,55.655,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,265.854,265.854,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,265.854,265.854,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_time,1,265.854,265.854,0,0.0,0.0,0.0,0,0.0
