scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,118.927,118.973,0.03866423474233,PRISM-CC
network_hpc_local,prism_cc_cost,makespan,118.927,118.973,0.03866423474233,PRISM-CC
network_hpc_multisite,prism_cc_time,makespan,118.94,118.989,0.0411802771684833,PRISM-CC
network_hpc_multisite,prism_cc_cost,makespan,118.94,118.989,0.0411802771684833,PRISM-CC
network_cloud_multiregion,prism_cc_time,makespan,142.588,142.644,0.039258573792105934,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,145.686,142.644,-2.1325818120636,HEFT
network_hpc_cloud,prism_cc_time,makespan,80.433,80.459,0.03231459501111902,PRISM-CC
network_hpc_cloud,prism_cc_cost,makespan,92.888,80.459,-15.447619284356009,HEFT
network_edge_cloud,prism_cc_time,makespan,114.731,114.731,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,129.302,114.731,-12.700142071454097,HEFT
network_fog_hpc_cloud,prism_cc_time,makespan,80.454,80.454,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,80.454,80.454,0.0,Empate
network_wfcommons_overlay,prism_cc_time,makespan,465.834,465.834,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,465.834,465.834,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.218506,0.21857,0.029281237132260027,PRISM-CC
network_cloud_multiregion,prism_cc_cost,budget_used,0.207974,0.21857,4.847874822711257,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.125126,0.125136,0.007991305459667883,PRISM-CC
network_hpc_cloud,prism_cc_cost,budget_used,0.088769,0.125136,29.06198056514512,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,0.181254,0.181254,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.161602,0.181254,10.842243481523168,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,0.125136,0.125136,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.11897,0.125136,4.927438946426282,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
