scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,241.545,241.545,0,0.0,29.884564,29.884564,0,0.0
network_cloud_multiregion,prism_cc_cost,1,271.198,271.198,0,0.0,11.339683,11.339683,0,0.0
network_cloud_multiregion,prism_cc_time,1,241.545,241.545,0,0.0,29.884564,29.884564,0,0.0
network_edge_cloud,heft_classic,1,192.103,192.103,0,0.0,28.871275,28.871275,0,0.0
network_edge_cloud,prism_cc_cost,1,212.537,212.537,0,0.0,1.398444,1.398444,0,0.0
network_edge_cloud,prism_cc_time,1,192.103,192.103,0,0.0,28.871275,28.871275,0,0.0
network_fog_hpc_cloud,heft_classic,1,155.259,155.259,0,0.0,21.278024,21.278024,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,167.983,167.983,0,0.0,10.679421,10.679421,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,153.494,153.494,0,0.0,22.356558,22.356558,0,0.0
network_hpc_cloud,heft_classic,1,156.42,156.42,0,0.0,21.359152,21.359152,0,0.0
network_hpc_cloud,prism_cc_cost,1,167.952,167.952,0,0.0,10.713588,10.713588,0,0.0
network_hpc_cloud,prism_cc_time,1,154.115,154.115,0,0.0,22.303038,22.303038,0,0.0
network_hpc_local,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,1034.699,1034.699,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,1034.699,1034.699,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_time,1,1034.699,1034.699,0,0.0,0.0,0.0,0,0.0
