scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,31271.903000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,31271.903000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,58.496000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,30858.991000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,30858.991000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,1.126800,0.939000,0.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,51.628000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.025271,15.715200,13.094000,13.094000,0.000000,0.000000,0.021055,0.021055,0.000000,0.000000,0.128000,30891.629000,0.015272,0.018994
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.025271,15.715200,13.796000,13.796000,0.000000,0.000000,0.013831,0.013831,0.000000,0.000000,0.129000,30891.629000,-5.345144,34.322617
network_cloud_multiregion,heft_colocation,1,1.000000,0.025271,15.715200,13.096000,13.096000,0.000000,0.000000,0.021059,0.021059,0.000000,0.000000,0.129000,128.256000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.000000,1.447200,1.206000,1.206000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,27308.224000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,1.447200,1.206000,1.206000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,27308.224000,0.000000,0.000000
network_hpc_cloud,heft_colocation,1,1.000000,0.000000,1.447200,1.206000,1.206000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,47.809000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.024481,15.450000,12.875000,12.875000,0.000000,0.000000,0.020401,0.020401,0.000000,0.000000,0.134000,28160.347000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.024481,15.450000,12.875000,12.875000,0.000000,0.000000,0.020401,0.020401,0.000000,0.000000,0.134000,28160.347000,0.000000,0.000000
network_edge_cloud,heft_colocation,1,1.000000,0.024481,15.450000,12.875000,12.875000,0.000000,0.000000,0.020401,0.020401,0.000000,0.000000,0.134000,136.991000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.000000,1.447200,1.206000,1.206000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,70307.751000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.000000,1.447200,1.206000,1.206000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,70307.751000,0.000000,0.000000
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.000000,1.447200,1.206000,1.206000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133000,73.016000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,4.026000,3.355000,3.355000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119000,26739.640000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,4.026000,3.355000,3.355000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119000,26739.640000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,4.026000,3.355000,3.355000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119000,57.003000,0.000000,0.000000
