scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,587.382,587.382,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,587.382,587.382,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,587.382,587.382,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,587.382,587.382,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,403.588,403.588,0.0,Empate
network_cloud_multiregion,prism_cc_cost,makespan,403.588,403.588,0.0,Empate
network_hpc_cloud,prism_cc_time,makespan,305.691,305.691,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,350.019,305.691,-14.500917593255945,HEFT
network_edge_cloud,prism_cc_time,makespan,305.691,305.691,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,329.365,305.691,-7.744421654546596,HEFT
network_fog_hpc_cloud,prism_cc_time,makespan,305.691,305.691,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,350.019,305.691,-14.500917593255945,HEFT
network_wfcommons_overlay,prism_cc_time,makespan,1988.062,1988.062,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,makespan,1988.062,1988.062,0.0,Empate
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.748912,0.748912,0.0,Empate
network_cloud_multiregion,prism_cc_cost,budget_used,0.328553,0.748912,56.12929155895486,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.594434,0.594434,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,0.382408,0.594434,35.668551933435836,PRISM-CC
network_edge_cloud,prism_cc_time,budget_used,0.857104,0.857104,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.38207,0.857104,55.4231458492785,PRISM-CC
network_fog_hpc_cloud,prism_cc_time,budget_used,0.456592,0.456592,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.382408,0.456592,16.247328030276478,PRISM-CC
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
