scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,117.64,117.64,0,0.0,0.323369,0.323369,0,0.0,1.0,0.32626225000000003,0.1510056358457773,4.0,0.213,7403.0,0.00012566371681415928,0.0,,
network_cloud_multiregion,prism_cc_cost,1,137.923,137.923,0,0.0,0.198402,0.198402,0,0.0,1.0,0.23958575,0.24225706027933944,3.0,0.218,9546.0,0.00012861356932153392,0.0,-17.241584495069706,38.6453246909877
network_cloud_multiregion,prism_cc_time,1,113.833,113.833,0,0.0,0.291987,0.291987,0,0.0,1.0,0.26232225,0.05660014997053896,4.0,0.218,7917.0,0.00012861356932153392,0.0,3.236144168650121,9.704702677127374
network_edge_cloud,heft_classic,1,93.062,93.062,0,0.0,0.331447,0.331447,0,0.0,1.0,0.43849799999999994,0.11877445057544993,4.0,0.22,12998.0,0.00012979351032448377,0.0,,
network_edge_cloud,prism_cc_cost,1,96.074,96.074,0,0.0,0.126449,0.126449,0,0.0,1.0,0.25200275,0.14791153170455473,3.0,0.228,20622.0,0.0001345132743362832,0.0,-3.236551976101954,61.84940578735061
network_edge_cloud,prism_cc_time,1,93.062,93.062,0,0.0,0.331447,0.331447,0,0.0,1.0,0.43849799999999994,0.11877445057544993,4.0,0.22,12998.0,0.00012979351032448377,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,85.917,85.917,0,0.0,0.241932,0.241932,0,0.0,1.0,0.33092928571428576,0.13752224501275034,14.0,0.218,10668.0,0.00012861356932153392,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,96.085,96.085,0,0.0,0.139852,0.139852,0,0.0,1.0,0.3236090714285715,0.15224851337696177,13.0,0.227,13578.0,0.00013392330383480826,0.0,-11.834677654014913,42.19367425557595
network_fog_hpc_cloud,prism_cc_time,1,85.917,85.917,0,0.0,0.241932,0.241932,0,0.0,1.0,0.33092928571428576,0.13752224501275034,14.0,0.218,10668.0,0.00012861356932153392,0.0,0.0,0.0
network_hpc_cloud,heft_classic,1,86.226,86.226,0,0.0,0.247148,0.247148,0,0.0,1.0,0.21621400000000002,0.1445062252932378,4.0,0.217,11056.0,0.000128023598820059,0.0,,
network_hpc_cloud,prism_cc_cost,1,96.409,96.409,0,0.0,0.138537,0.138537,0,0.0,1.0,0.17582975,0.16325355692966542,3.0,0.223,14571.0,0.00013156342182890857,0.0,-11.809662978683932,43.94573292116465
network_hpc_cloud,prism_cc_time,1,85.917,85.917,0,0.0,0.235659,0.235659,0,0.0,1.0,0.20079975,0.15739775353761407,4.0,0.21,11219.0,0.0001238938053097345,0.0,0.3583605872938528,4.648631589169242
network_hpc_local,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.12680125,0.041710972449554566,4.0,0.216,9807.0,0.00012743362831858408,0.0,,
network_hpc_local,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.12680125,0.041710972449554566,4.0,0.216,9807.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_local,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.12680125,0.041710972449554566,4.0,0.216,9807.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_multisite,heft_classic,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.1268015,0.043554855874517594,4.0,0.216,10043.0,0.00012743362831858408,0.0,,
network_hpc_multisite,prism_cc_cost,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.1268015,0.043554855874517594,4.0,0.216,10043.0,0.00012743362831858408,0.0,0.0,0.0
network_hpc_multisite,prism_cc_time,1,147.835,147.835,0,0.0,0.0,0.0,0,0.0,1.0,0.1268015,0.043554855874517594,4.0,0.216,10043.0,0.00012743362831858408,0.0,0.0,0.0
network_wfcommons_overlay,heft_classic,1,500.364,500.364,0,0.0,0.0,0.0,0,0.0,1.0,0.17693940000000002,0.031291174702142446,5.0,0.135,9807.0,7.964601769911504e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,500.364,500.364,0,0.0,0.0,0.0,0,0.0,1.0,0.17693940000000002,0.031291174702142446,5.0,0.135,9807.0,7.964601769911504e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,500.364,500.364,0,0.0,0.0,0.0,0,0.0,1.0,0.17693940000000002,0.031291174702142446,5.0,0.135,9807.0,7.964601769911504e-05,0.0,0.0,0.0
