scenario_id,algorithm,recommendation,makespan_mean,makespan_p95,cost_mean,cost_p95,makespan_cv_percent,strict_feasibility_percent,budget_limit,deadline_limit,cost_sla_percent,makespan_sla_percent,required_deadline_margin_percent,required_budget_margin_percent,robust_feasible,pareto,frontier_order,extra_cost_from_previous,time_saved_from_previous,seconds_saved_per_extra_dollar
network_hpc_local,heft_classic,HPC local 200 Gbps · HEFT coalocado,280.405,280.405,0.0,0.0,,100.0,0.0,336.486,0.0,83.33333333333333,0,0,True,True,1,,,
network_hpc_cloud,prism_cc_time,HPC–Cloud · PRISM-CC - Time,154.09,154.09,22.303008,22.303008,,100.0,25.629653,187.674,87.02032758695562,82.10513976363268,0,0,True,True,2,87.02032758695562,1.2281935697006503,0.01411386975615979
network_hpc_local,prism_cc_cost,HPC local 200 Gbps · PRISM-CC - Cost,280.405,280.405,0.0,0.0,,100.0,0.0,336.486,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_local,prism_cc_time,HPC local 200 Gbps · PRISM-CC - Time,280.405,280.405,0.0,0.0,,100.0,0.0,336.486,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,heft_classic,HPC multi-site 500 Mbps WAN · HEFT coalocado,280.405,280.405,0.0,0.0,,100.0,0.0,336.486,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,prism_cc_cost,HPC multi-site 500 Mbps WAN · PRISM-CC - Cost,280.405,280.405,0.0,0.0,,100.0,0.0,336.486,0.0,83.33333333333333,0,0,True,False,,,,
network_hpc_multisite,prism_cc_time,HPC multi-site 500 Mbps WAN · PRISM-CC - Time,280.405,280.405,0.0,0.0,,100.0,0.0,336.486,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,heft_classic,WfCommons overlay multi-site · HEFT coalocado,1034.654,1034.654,0.0,0.0,,100.0,0.0,1241.5848,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_cost,WfCommons overlay multi-site · PRISM-CC - Cost,1034.654,1034.654,0.0,0.0,,100.0,0.0,1241.5848,0.0,83.33333333333333,0,0,True,False,,,,
network_wfcommons_overlay,prism_cc_time,WfCommons overlay multi-site · PRISM-CC - Time,1034.654,1034.654,0.0,0.0,,100.0,0.0,1241.5848,0.0,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,prism_cc_cost,Edge–Cloud · PRISM-CC - Cost,212.537,212.537,1.398444,1.398444,,100.0,28.492717,230.4912,4.908075281132368,92.21046183108076,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_cost,Cloud multi-região · PRISM-CC - Cost,271.162,271.162,11.339617,11.339617,,100.0,35.974566,289.8132,31.52120584303922,93.56440631413614,0,0,True,False,,,,
network_hpc_cloud,prism_cc_cost,HPC–Cloud · PRISM-CC - Cost,167.943,167.943,10.713588,10.713588,,100.0,25.629653,187.674,41.80153355958428,89.48655647559066,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_cost,Fog–HPC–Cloud · PRISM-CC - Cost,167.974,167.974,10.679421,10.679421,,100.0,25.53358,186.2784,41.82500456261911,90.17363258434686,0,0,True,False,,,,
network_fog_hpc_cloud,heft_classic,Fog–HPC–Cloud · HEFT coalocado,155.232,155.232,21.277983,21.277983,,100.0,25.53358,186.2784,83.33333202786291,83.33333333333333,0,0,True,False,,,,
network_hpc_cloud,heft_classic,HPC–Cloud · HEFT coalocado,156.395,156.395,21.358044,21.358044,,100.0,25.629653,187.674,83.3333326830449,83.33333333333334,0,0,True,False,,,,
network_cloud_multiregion,heft_classic,Cloud multi-região · HEFT coalocado,241.511,241.511,29.978805,29.978805,,100.0,35.974566,289.8132,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_cloud_multiregion,prism_cc_time,Cloud multi-região · PRISM-CC - Time,241.511,241.511,29.978805,29.978805,,100.0,35.974566,289.8132,83.33333333333333,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,heft_classic,Edge–Cloud · HEFT coalocado,192.076,192.076,23.743931,23.743931,,100.0,28.492717,230.4912,83.33333391827813,83.33333333333333,0,0,True,False,,,,
network_edge_cloud,prism_cc_time,Edge–Cloud · PRISM-CC - Time,192.076,192.076,23.743931,23.743931,,100.0,28.492717,230.4912,83.33333391827813,83.33333333333333,0,0,True,False,,,,
network_fog_hpc_cloud,prism_cc_time,Fog–HPC–Cloud · PRISM-CC - Time,153.467,153.467,22.346475,22.346475,,100.0,25.53358,186.2784,87.51798611867196,82.38582680546966,0,0,True,False,,,,
