scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,225756.149000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,225756.149000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,1033.815000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,226126.039000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,226126.039000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,336.486000,280.405000,280.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,1034.318000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,35.974566,289.813200,241.511000,241.511000,0.000000,0.000000,29.978805,29.978805,0.000000,0.000000,0.770000,236069.254000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,35.974566,289.813200,271.162000,271.162000,0.000000,0.000000,11.339617,11.339617,0.000000,0.000000,0.984000,236069.254000,-12.277288,62.174553
network_cloud_multiregion,heft_colocation,1,1.000000,35.974566,289.813200,241.511000,241.511000,0.000000,0.000000,29.978805,29.978805,0.000000,0.000000,0.770000,3634.479000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,25.629653,187.674000,154.090000,154.090000,0.000000,0.000000,22.303008,22.303008,0.000000,0.000000,1.143000,264620.325000,1.473832,-4.424394
network_hpc_cloud,prism_cc_cost,1,1.000000,25.629653,187.674000,167.943000,167.943000,0.000000,0.000000,10.713588,10.713588,0.000000,0.000000,1.265000,264620.325000,-7.383868,49.838159
network_hpc_cloud,heft_colocation,1,1.000000,25.629653,187.674000,156.395000,156.395000,0.000000,0.000000,21.358044,21.358044,0.000000,0.000000,1.210000,1363.088000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,28.492717,230.491200,192.076000,192.076000,0.000000,0.000000,23.743931,23.743931,0.000000,0.000000,1.169000,213079.022000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,28.492717,230.491200,212.537000,212.537000,0.000000,0.000000,1.398444,1.398444,0.000000,0.000000,1.492000,213079.022000,-10.652554,94.110310
network_edge_cloud,heft_colocation,1,1.000000,28.492717,230.491200,192.076000,192.076000,0.000000,0.000000,23.743931,23.743931,0.000000,0.000000,1.169000,3811.728000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,25.533580,186.278400,153.467000,153.467000,0.000000,0.000000,22.346475,22.346475,0.000000,0.000000,1.006000,599450.673000,1.137008,-5.021585
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,25.533580,186.278400,167.974000,167.974000,0.000000,0.000000,10.679421,10.679421,0.000000,0.000000,1.242000,599450.673000,-8.208359,49.809994
network_fog_hpc_cloud,heft_colocation,1,1.000000,25.533580,186.278400,155.232000,155.232000,0.000000,0.000000,21.277983,21.277983,0.000000,0.000000,1.149000,1975.740000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,1241.584800,1034.654000,1034.654000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360000,186990.155000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,1241.584800,1034.654000,1034.654000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360000,186990.155000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,1241.584800,1034.654000,1034.654000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360000,1059.873000,0.000000,0.000000
