scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95
network_cloud_multiregion,heft_classic,1,5147.394,5147.394,0,0.0,3.29376,3.29376,0,0.0
network_cloud_multiregion,prism_cc_cost,1,6158.336,6158.336,0,0.0,2.985002,2.985002,0,0.0
network_cloud_multiregion,prism_cc_time,1,5146.879,5146.879,0,0.0,3.310326,3.310326,0,0.0
network_edge_cloud,heft_classic,1,3867.591,3867.591,0,0.0,4.866946,4.866946,0,0.0
network_edge_cloud,prism_cc_cost,1,3872.895,3872.895,0,0.0,4.857789,4.857789,0,0.0
network_edge_cloud,prism_cc_time,1,3867.591,3867.591,0,0.0,4.866946,4.866946,0,0.0
network_fog_hpc_cloud,heft_classic,1,3840.713,3840.713,0,0.0,4.752307,4.752307,0,0.0
network_fog_hpc_cloud,prism_cc_cost,1,3916.454,3916.454,0,0.0,4.666076,4.666076,0,0.0
network_fog_hpc_cloud,prism_cc_time,1,3840.713,3840.713,0,0.0,4.752307,4.752307,0,0.0
network_hpc_cloud,heft_classic,1,3840.713,3840.713,0,0.0,4.752307,4.752307,0,0.0
network_hpc_cloud,prism_cc_cost,1,3915.919,3915.919,0,0.0,4.666076,4.666076,0,0.0
network_hpc_cloud,prism_cc_time,1,3840.713,3840.713,0,0.0,4.752307,4.752307,0,0.0
network_hpc_local,heft_classic,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_cost,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_local,prism_cc_time,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,heft_classic,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_cost,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_hpc_multisite,prism_cc_time,1,7605.338,7605.338,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,heft_classic,1,25830.889,25830.889,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_cost,1,25830.889,25830.889,0,0.0,0.0,0.0,0,0.0
network_wfcommons_overlay,prism_cc_time,1,25830.889,25830.889,0,0.0,0.0,0.0,0,0.0
