scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,66.811200,55.655000,55.655000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,25507.343000,0.037718,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,66.811200,55.655000,55.655000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,25507.343000,0.037718,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,66.811200,55.676000,55.676000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,45.133000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,66.811200,55.655000,55.655000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,25356.015000,0.037718,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,66.811200,55.655000,55.655000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,25356.015000,0.037718,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,66.811200,55.676000,55.676000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,41.787000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.172116,102.063600,84.929000,84.929000,0.000000,0.000000,0.142474,0.142474,0.000000,0.000000,0.107000,26150.694000,0.145791,0.666527
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.172116,102.063600,96.449000,96.449000,0.000000,0.000000,0.135552,0.135552,0.000000,0.000000,0.109000,26150.694000,-13.398704,5.492575
network_cloud_multiregion,heft_colocation,1,1.000000,0.172116,102.063600,85.053000,85.053000,0.000000,0.000000,0.143430,0.143430,0.000000,0.000000,0.114000,85.927000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,0.093791,56.334000,46.945000,46.945000,0.000000,0.000000,0.078159,0.078159,0.000000,0.000000,0.125000,25831.494000,0.000000,0.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,0.093791,56.334000,55.772000,55.772000,0.000000,0.000000,0.063216,0.063216,0.000000,0.000000,0.122000,25831.494000,-18.802854,19.118720
network_hpc_cloud,heft_colocation,1,1.000000,0.093791,56.334000,46.945000,46.945000,0.000000,0.000000,0.078159,0.078159,0.000000,0.000000,0.125000,61.589000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.154475,86.098800,71.749000,71.749000,0.000000,0.000000,0.128729,0.128729,0.000000,0.000000,0.115000,23297.239000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.154475,86.098800,82.990000,82.990000,0.000000,0.000000,0.105763,0.105763,0.000000,0.000000,0.112000,23297.239000,-15.667117,17.840580
network_edge_cloud,heft_colocation,1,1.000000,0.154475,86.098800,71.749000,71.749000,0.000000,0.000000,0.128729,0.128729,0.000000,0.000000,0.115000,96.833000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,0.093208,56.106000,46.755000,46.755000,0.000000,0.000000,0.077673,0.077673,0.000000,0.000000,0.124000,57843.861000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,0.093208,56.106000,55.772000,55.772000,0.000000,0.000000,0.063246,0.063246,0.000000,0.000000,0.123000,57843.861000,-19.285638,18.574022
network_fog_hpc_cloud,heft_colocation,1,1.000000,0.093208,56.106000,46.755000,46.755000,0.000000,0.000000,0.077673,0.077673,0.000000,0.000000,0.124000,84.658000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,319.120800,265.934000,265.934000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063000,21981.249000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,319.120800,265.934000,265.934000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063000,21981.249000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,319.120800,265.934000,265.934000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063000,40.044000,0.000000,0.000000
