scenario_id,algorithm,runs,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_used_mean,budget_used_median,budget_used_stddev,budget_used_ci95,interference_seed,utilization_mean,utilization_imbalance,machines_used,interference_time_mean,interference_pairs_mean,interference_per_task,makespan_cv_percent,makespan_gain_percent,budget_gain_percent
network_cloud_multiregion,heft_classic,1,241.88,241.88,0,0.0,30.315188,30.315188,0,0.0,1.0,0.86731375,0.02608379377482307,4.0,0.763,20829.0,0.00011833126550868486,0.0,,
network_cloud_multiregion,prism_cc_cost,1,271.337,271.337,0,0.0,11.325548,11.325548,0,0.0,1.0,0.70297125,0.15784433656196695,4.0,0.984,31194.0,0.00015260545905707197,0.0,-12.178352902265583,62.640680308497515
network_cloud_multiregion,prism_cc_time,1,241.88,241.88,0,0.0,30.315188,30.315188,0,0.0,1.0,0.86731375,0.02608379377482307,4.0,0.763,20829.0,0.00011833126550868486,0.0,0.0,0.0
network_edge_cloud,heft_classic,1,192.424,192.424,0,0.0,33.379542,33.379542,0,0.0,1.0,0.6028695,0.2791945532084213,4.0,1.108,58043.0,0.0001718362282878412,0.0,,
network_edge_cloud,prism_cc_cost,1,212.537,212.537,0,0.0,1.398444,1.398444,0,0.0,1.0,0.28730175,0.3504607341182283,4.0,1.492,82690.0,0.00023138957816377172,0.0,-10.45243836527668,95.81047576985927
network_edge_cloud,prism_cc_time,1,192.424,192.424,0,0.0,33.379542,33.379542,0,0.0,1.0,0.6028695,0.2791945532084213,4.0,1.108,58043.0,0.0001718362282878412,0.0,0.0,0.0
network_fog_hpc_cloud,heft_classic,1,155.268,155.268,0,0.0,21.228302,21.228302,0,0.0,1.0,0.32115214285714283,0.18012559186771288,14.0,1.167,25422.0,0.0001809863523573201,0.0,,
network_fog_hpc_cloud,prism_cc_cost,1,168.023,168.023,0,0.0,10.679421,10.679421,0,0.0,1.0,0.31492200000000004,0.18114193862903671,13.0,1.239,33007.0,0.0001921526054590571,0.0,-8.214828554499315,49.69253310980784
network_fog_hpc_cloud,prism_cc_time,1,154.07,154.07,0,0.0,22.360209,22.360209,0,0.0,1.0,0.3406122857142857,0.1777519483182065,14.0,0.89,23498.0,0.00013802729528535981,0.0,0.7715691578432179,-5.332065654615248
network_hpc_cloud,heft_classic,1,156.54,156.54,0,0.0,21.344599,21.344599,0,0.0,1.0,0.58959825,0.07056629067896017,4.0,1.206,26806.0,0.0001870347394540943,0.0,,
network_hpc_cloud,prism_cc_cost,1,167.992,167.992,0,0.0,10.713588,10.713588,0,0.0,1.0,0.46248274999999994,0.2724998036966036,3.0,1.262,33393.0,0.00019571960297766749,0.0,-7.31570205698224,49.8065623064645
network_hpc_cloud,prism_cc_time,1,154.681,154.681,0,0.0,22.30875,22.30875,0,0.0,1.0,0.5943149999999999,0.07209354067806631,4.0,1.091,23903.0,0.00016919975186104218,0.0,1.1875558962565353,-4.517072445352574
network_hpc_local,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.4581295,0.21801096382235002,4.0,0.599,27393.0,9.28970223325062e-05,0.0,,
network_hpc_local,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.4581295,0.21801096382235002,4.0,0.599,27393.0,9.28970223325062e-05,0.0,0.0,0.0
network_hpc_local,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.4581295,0.21801096382235002,4.0,0.599,27393.0,9.28970223325062e-05,0.0,0.0,0.0
network_hpc_multisite,heft_classic,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.45812924999999993,0.21787278632538642,4.0,0.599,27097.0,9.28970223325062e-05,0.0,,
network_hpc_multisite,prism_cc_cost,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.45812924999999993,0.21787278632538642,4.0,0.599,27097.0,9.28970223325062e-05,0.0,0.0,0.0
network_hpc_multisite,prism_cc_time,1,280.405,280.405,0,0.0,0.0,0.0,0,0.0,1.0,0.45812924999999993,0.21787278632538642,4.0,0.599,27097.0,9.28970223325062e-05,0.0,0.0,0.0
network_wfcommons_overlay,heft_classic,1,1034.899,1034.899,0,0.0,0.0,0.0,0,0.0,1.0,0.5100998000000001,0.2716582086022066,5.0,0.36,31986.0,5.5831265508684863e-05,0.0,,
network_wfcommons_overlay,prism_cc_cost,1,1034.899,1034.899,0,0.0,0.0,0.0,0,0.0,1.0,0.5100998000000001,0.2716582086022066,5.0,0.36,31986.0,5.5831265508684863e-05,0.0,0.0,0.0
network_wfcommons_overlay,prism_cc_time,1,1034.899,1034.899,0,0.0,0.0,0.0,0,0.0,1.0,0.5100998000000001,0.2716582086022066,5.0,0.36,31986.0,5.5831265508684863e-05,0.0,0.0,0.0
