scenario_id,variant,metric,prism_mean,heft_mean,prism_gain_percent,winner
network_hpc_local,prism_cc_time,makespan,0.939,0.939,0.0,Empate
network_hpc_local,prism_cc_cost,makespan,0.939,0.939,0.0,Empate
network_hpc_multisite,prism_cc_time,makespan,0.939,0.939,0.0,Empate
network_hpc_multisite,prism_cc_cost,makespan,0.939,0.939,0.0,Empate
network_cloud_multiregion,prism_cc_time,makespan,13.133,13.136,0.02283800243605446,PRISM-CC
network_cloud_multiregion,prism_cc_cost,makespan,13.832,13.136,-5.2984165651644455,HEFT
network_hpc_cloud,prism_cc_time,makespan,1.246,1.246,0.0,Empate
network_hpc_cloud,prism_cc_cost,makespan,1.246,1.246,0.0,Empate
network_edge_cloud,prism_cc_time,makespan,12.915,12.915,0.0,Empate
network_edge_cloud,prism_cc_cost,makespan,12.915,12.915,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,makespan,1.246,1.246,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,makespan,1.246,1.246,0.0,Empate
network_wfcommons_overlay,prism_cc_time,makespan,3.393,3.395,0.0589101620029521,PRISM-CC
network_wfcommons_overlay,prism_cc_cost,makespan,3.393,3.395,0.0589101620029521,PRISM-CC
network_hpc_local,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_local,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_multisite,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_cloud_multiregion,prism_cc_time,budget_used,0.021086,0.021097,0.052140114708255164,PRISM-CC
network_cloud_multiregion,prism_cc_cost,budget_used,0.013826,0.021097,34.46461582215482,PRISM-CC
network_hpc_cloud,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_hpc_cloud,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_edge_cloud,prism_cc_time,budget_used,0.020464,0.020464,0.0,Empate
network_edge_cloud,prism_cc_cost,budget_used,0.020464,0.020464,0.0,Empate
network_fog_hpc_cloud,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_fog_hpc_cloud,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_time,budget_used,0.0,0.0,0.0,Empate
network_wfcommons_overlay,prism_cc_cost,budget_used,0.0,0.0,0.0,Empate
