source,target,data_mb,data_bytes,files
mapmergemapmerge080603ilmn-ga0010003205wwaaxxtaq1id0000848,chr21chr21id0000001,213.287821000,213287821,080603_ILMN-GA001_0003_205WWAAXX_TAQ1.nocontam.map
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence1id0001276,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence1id0000002,4.799317000,4799317,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.1.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence10id0001277,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence10id0000003,4.872202000,4872202,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.10.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence11id0001278,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence11id0000004,4.871499000,4871499,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.11.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence12id0001279,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence12id0000005,4.846414000,4846414,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.12.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence13id0001280,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence13id0000006,4.833155000,4833155,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.13.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence14id0001281,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence14id0000007,4.824834000,4824834,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.14.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence15id0001282,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence15id0000008,4.830501000,4830501,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.15.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence16id0001283,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence16id0000009,4.841131000,4841131,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.16.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence17id0001284,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence17id0000010,4.767358000,4767358,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.17.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence18id0001285,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence18id0000011,4.767970000,4767970,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.18.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence19id0001286,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence19id0000012,4.771906000,4771906,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.19.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence2id0001287,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence2id0000013,4.831778000,4831778,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.2.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence20id0001288,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence20id0000014,4.859829000,4859829,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.20.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence21id0001289,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence21id0000015,4.873629000,4873629,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.21.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence22id0001290,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence22id0000016,4.897957000,4897957,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.22.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence23id0001291,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence23id0000017,4.859900000,4859900,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.23.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence24id0001292,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence24id0000018,4.909991000,4909991,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.24.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence25id0001293,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence25id0000019,4.909945000,4909945,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.25.nocontam.fq
sol2sangersol2sanger080603ilmn-ga0010003205wwaaxxtaq1s1sequence26id0001294,fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence26id0000020,4.929156000,4929156,080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence.26.nocontam.fq
