activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
chr21chr21id0000001,chr21,compute-3,48,1200,460.800000,422.400000,1.090909091,39.016000,42.562909,99.2413
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence1id0000002,fast2bfq,compute-5,48,1200,460.800000,422.400000,1.090909091,1.297000,1.414909,17.8103
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence10id0000003,fast2bfq,compute-6,48,1200,460.800000,422.400000,1.090909091,0.205000,0.223636,99.5122
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence11id0000004,fast2bfq,compute-4,48,1209,464.256000,422.400000,1.099090909,3.114000,3.422569,8.5742
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence12id0000005,fast2bfq,compute-5,48,1200,460.800000,422.400000,1.090909091,1.981000,2.161091,11.7113
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence13id0000006,fast2bfq,compute-4,48,1209,464.256000,422.400000,1.099090909,4.890000,5.374555,4.7444
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence14id0000007,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,3.777000,4.377886,6.4602
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence15id0000008,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,2.960000,3.430909,8.0743
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence16id0000009,fast2bfq,compute-5,48,1200,460.800000,422.400000,1.090909091,0.297000,0.324000,77.4411
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence17id0000010,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,2.465000,2.857159,9.5335
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence18id0000011,fast2bfq,compute-4,48,1209,464.256000,422.400000,1.099090909,3.470000,3.813845,6.8012
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence19id0000012,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,2.462000,2.853682,9.6669
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence2id0000013,fast2bfq,compute-3,48,1200,460.800000,422.400000,1.090909091,3.276000,3.573818,7.5092
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence20id0000014,fast2bfq,compute-3,48,1200,460.800000,422.400000,1.090909091,1.779000,1.940727,14.2215
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence21id0000015,fast2bfq,compute-4,48,1209,464.256000,422.400000,1.099090909,4.587000,5.041530,5.4938
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence22id0000016,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,3.543000,4.106659,6.9433
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence23id0000017,fast2bfq,compute-5,48,1200,460.800000,422.400000,1.090909091,0.850000,0.927273,34.7059
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence24id0000018,fast2bfq,compute-4,48,1209,464.256000,422.400000,1.099090909,3.907000,4.294148,6.1428
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence25id0000019,fast2bfq,compute-4,48,1209,464.256000,422.400000,1.099090909,3.859000,4.241392,6.4006
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence26id0000020,fast2bfq,compute-6,48,1200,460.800000,422.400000,1.090909091,1.261000,1.375636,17.7637
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence27id0000021,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,1.648000,1.910182,14.5024
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence28id0000022,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,2.872000,3.328909,7.9039
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence29id0000023,fast2bfq,compute-6,48,1200,460.800000,422.400000,1.090909091,0.211000,0.230182,100.0
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence3id0000024,fast2bfq,compute-4,48,1209,464.256000,422.400000,1.099090909,2.680000,2.945564,9.6269
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence30id0000025,fast2bfq,compute-6,48,1200,460.800000,422.400000,1.090909091,1.623000,1.770545,13.1238
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence31id0000026,fast2bfq,compute-4,48,1209,464.256000,422.400000,1.099090909,1.465000,1.610168,17.1331
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence32id0000027,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,2.109000,2.444523,11.7117
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence33id0000028,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,2.500000,2.897727,11.24
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence34id0000029,fast2bfq,compute-6,48,1200,460.800000,422.400000,1.090909091,1.832000,1.998545,11.7358
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence35id0000030,fast2bfq,compute-3,48,1200,460.800000,422.400000,1.090909091,3.086000,3.366545,8.3927
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence36id0000031,fast2bfq,compute-6,48,1200,460.800000,422.400000,1.090909091,1.462000,1.594909,15.5951
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence37id0000032,fast2bfq,compute-7,48,1275,489.600000,422.400000,1.159090909,2.470000,2.862955,9.9595
fast2bfqfast2bfq080603ilmn-ga0010003205wwaaxxtaq1s1sequence38id0000033,fast2bfq,compute-4,48,1209,464.256000,422.400000,1.099090909,4.774000,5.247060,4.6502
