activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
sg1iterdeconid0000001,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,1.291000,2.603125,100.0
sg1iterdeconid0000002,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,2.165000,2.912909,12.0092
sg1iterdeconid0000003,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.484000,0.975920,95.2479
sg1iterdeconid0000004,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.923000,1.241855,78.2232
sg1iterdeconid0000005,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.438000,0.477818,100.0
sg1iterdeconid0000006,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.420000,0.846873,99.7619
sg1iterdeconid0000007,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.646000,0.756995,68.5759
sg1iterdeconid0000008,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.410000,0.743964,53.6585
sg1iterdeconid0000009,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.615000,0.670909,44.5528
sg1iterdeconid0000010,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,3.265000,4.924214,43.3691
sg1iterdeconid0000011,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.196000,0.395207,100.0
sg1iterdeconid0000012,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.147000,0.266738,100.0
sg1iterdeconid0000013,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.325000,0.655318,100.0
sg1iterdeconid0000014,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.332000,0.362182,100.0
sg1iterdeconid0000015,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.230000,0.346882,100.0
sg1iterdeconid0000016,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.247000,0.372521,100.0
sg1iterdeconid0000017,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.324000,0.488651,99.6914
sg1iterdeconid0000018,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.315000,0.635155,100.0
sg1iterdeconid0000019,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.316000,0.476585,99.6835
sg1iterdeconid0000020,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,1.885000,2.842923,40.2653
sg1iterdeconid0000021,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.120000,0.161455,99.1667
sg1iterdeconid0000022,sg1iterdecon,cc-worker-6,48,1200,460.800000,422.400000,1.090909091,0.190000,0.207273,100.0
sg1iterdeconid0000023,sg1iterdecon,cc-worker-6,48,1200,460.800000,422.400000,1.090909091,0.281000,0.306545,100.0
sg1iterdeconid0000024,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.318000,0.641204,74.2138
sg1iterdeconid0000025,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.720000,0.785455,100.0
sg1iterdeconid0000026,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.241000,0.324255,100.0
sg1iterdeconid0000027,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.164000,0.220655,100.0
sg1iterdeconid0000028,sg1iterdecon,cc-worker-6,48,1200,460.800000,422.400000,1.090909091,0.248000,0.270545,91.9355
sg1iterdeconid0000029,sg1iterdecon,cc-worker-6,48,1200,460.800000,422.400000,1.090909091,0.287000,0.313091,99.6516
sg1iterdeconid0000030,sg1iterdecon,cc-worker-6,48,1200,460.800000,422.400000,1.090909091,0.397000,0.433091,84.6348
sg1iterdeconid0000031,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.336000,0.677498,100.0
sg1iterdeconid0000032,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.247000,0.269455,100.0
sg1iterdeconid0000033,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.225000,0.453682,100.0
sg1iterdeconid0000034,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.652000,0.764025,99.8466
sg1iterdeconid0000035,sg1iterdecon,compute-7,48,1480,568.320000,422.400000,1.345454545,0.464000,0.624291,100.0
sg1iterdeconid0000036,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.122000,0.221375,100.0
sg1iterdeconid0000037,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.485000,0.731468,95.0515
